onset	duration	run_number	trial_number	task	ext_mot_pos	ext_mot_ver_dir	staircase_num	fix_off_prct	trial_type	ext_mot_ori	direction_report	response_duration
1544.387747	3.7078037	2	1	1	2	1	1	2	2	-15	2	0.5253557
1548.103889	3.5078335	2	2	1	2	1	2	3	2	-65	1	0.4670563
1551.620055	3.5077966	2	3	1	1	1	2	2	1	-60	1	0.3169572
1555.136218	3.5078228	2	4	1	1	2	2	3	2	-55	1	0.0919604
1558.65238	3.5161794	2	5	1	2	1	2	4	1	-50	1	0.3673163
1562.193665	3.5078269	2	6	1	1	2	2	2	2	-45	2	0.2337448
1565.709662	3.5078715	2	7	1	1	2	2	1	1	-50	1	0.2593475
1569.225854	3.5077978	2	8	1	1	2	1	2	2	-20	2	-0.0409308
1572.742097	3.5077421	2	9	1	2	1	2	3	2	-45	1	0.375152
1576.258166	3.5078294	2	10	1	2	1	2	4	2	-40	1	0.2001455
1579.774328	3.5078465	2	11	1	2	1	1	4	1	-25	2	-0.1828963
1583.29049	3.5078226	2	12	1	1	2	2	3	2	-35	2	0.1341459
1586.806646	3.5078188	2	13	1	2	2	2	2	1	-40	2	0.0168663
1590.322794	3.5079059	2	14	1	2	2	2	1	1	-45	2	0.4334669
1593.838965	3.5078133	2	15	1	1	1	1	2	1	-30	2	-0.1329713
1597.355108	3.5078589	2	16	1	2	1	1	5	1	-35	2	0.4666905
1600.871284	3.5078308	2	17	1	1	1	2	1	2	-50	1	0.3755812
1604.387581	3.5076939	2	18	1	1	2	2	3	2	-45	2	-0.0914325
1607.903609	3.5079671	2	19	1	2	1	2	1	2	-50	1	0.4087558
1611.419891	3.5077012	2	20	1	1	1	1	5	1	-40	1	0.0918331
1614.935928	3.5077974	2	21	1	1	2	2	4	2	-45	2	0.2252195
1618.452222	3.507692	2	22	1	1	2	2	3	2	-50	1	0.2834927
1621.968442	3.507634	2	23	1	1	2	2	5	1	-45	2	0.1835135
1625.484411	3.50804917	2	24	1	1	1	2	4	2	-50	1	0.2501343
1629.00074	3.5076552	2	25	1	1	1	2	2	2	-45	1	0.2919491
1632.516743	3.5078136	2	26	1	2	1	2	5	1	-40	2	0.3917759
1636.033026	3.507675	2	27	1	2	2	1	2	2	-35	2	0.5250946
1639.549036	3.5079291	2	28	1	1	1	1	4	2	-40	1	-0.041313
1643.065193	3.5078301	2	29	1	1	1	2	3	1	-45	1	0.4084262
1646.581464	3.5077335	2	30	1	2	1	1	1	1	-35	2	0.1999905
1650.097529	3.5078259	2	31	1	1	1	2	3	1	-40	1	0.1751488
1653.613689	3.5078363	2	32	1	1	2	1	2	2	-40	2	-0.0991959
1657.129981	3.5076997	2	33	1	2	2	1	3	1	-45	2	0.1751833
1660.646009	3.5078299	2	34	1	2	1	1	2	2	-50	1	0.3417884
1664.162174	3.5078306	2	35	1	1	1	1	5	1	-45	1	0.2583508
1667.678335	3.5078423	2	36	1	1	2	2	5	2	-35	2	0.0336944
1671.194481	3.5078443	2	37	1	2	2	1	2	2	-40	2	-0.1164247
1674.710759	3.50774	2	38	1	1	1	1	4	2	-45	1	0.3338062
1678.226815	3.5078249	2	39	1	1	1	2	5	1	-40	1	0.2917906
1681.74298	3.5078288	2	40	1	2	1	1	2	2	-40	1	0.224995
1685.25914	3.5078197	2	41	1	1	2	1	5	2	-35	2	0.0334833
1688.775379	3.507757	2	42	1	2	2	2	4	2	-35	2	0.3251193
1692.291447	3.5078163	2	43	1	2	1	1	5	1	-40	1	0.2668022
