onset	duration	run_number	trial_number	task	ext_mot_pos	ext_mot_ver_dir	staircase_num	fix_off_prct	trial_type	ext_mot_ori	direction_report	response_duration
42786.61394	3.899479	2	1	2	2	1	1	2	2	-29.23076923	n/a	n/a
42790.52179	3.5077544	2	2	2	2	2	2	5	2	-29.23076923	n/a	n/a
42794.0379	3.5078191	2	3	2	2	2	2	5	2	-29.23076923	n/a	n/a
42797.55403	3.5078266	2	4	2	2	2	2	5	2	-29.23076923	n/a	n/a
42801.0702	3.5161525	2	5	2	2	2	2	5	1	-29.23076923	n/a	n/a
42804.59468	3.5078092	2	6	2	2	2	1	5	2	-29.23076923	n/a	n/a
42808.11082	3.5078332	2	7	2	2	2	2	3	2	-29.23076923	n/a	n/a
42811.62698	3.5078061	2	8	2	2	2	1	1	1	-29.23076923	n/a	n/a
42815.14318	3.5077774	2	9	2	1	2	1	5	1	-29.23076923	n/a	n/a
42818.65929	3.5078122	2	10	2	2	1	1	4	2	-29.23076923	n/a	n/a
42822.17544	3.5078297	2	11	2	1	1	2	1	2	-29.23076923	n/a	n/a
42825.69159	3.5078133	2	12	2	1	2	2	1	2	-29.23076923	n/a	n/a
42829.20774	3.4994862	2	13	2	1	2	1	1	1	-29.23076923	n/a	n/a
42832.71556	3.5078036	2	14	2	2	2	2	1	1	-29.23076923	n/a	n/a
42836.23169	3.5078247	2	15	2	2	1	1	1	1	-29.23076923	n/a	n/a
42839.74794	3.5077451	2	16	2	1	2	2	1	1	-29.23076923	n/a	n/a
42843.27236	3.5077765	2	17	2	2	2	2	1	2	-29.23076923	n/a	n/a
42846.78851	3.5077605	2	18	2	1	1	1	1	2	-29.23076923	n/a	n/a
42850.30478	3.5076849	2	19	2	2	1	1	2	1	-29.23076923	n/a	n/a
42853.82913	3.5078206	2	20	2	1	2	2	3	1	-29.23076923	n/a	n/a
42857.34528	3.5077898	2	21	2	2	2	2	5	1	-29.23076923	n/a	n/a
42860.86143	3.507823	2	22	2	2	1	2	4	2	-29.23076923	n/a	n/a
42864.37759	3.5078175	2	23	2	1	1	2	2	2	-29.23076923	n/a	n/a
42867.89374	3.5078021	2	24	2	1	1	1	2	2	-29.23076923	n/a	n/a
42871.40993	3.5077485	2	25	2	1	1	1	2	1	-29.23076923	n/a	n/a
42874.92605	3.5078035	2	26	2	1	1	2	3	2	-29.23076923	n/a	n/a
42878.44217	3.4995123	2	27	2	1	2	2	2	2	-29.23076923	n/a	n/a
42881.95	3.5078201	2	28	2	2	1	1	3	1	-29.23076923	n/a	n/a
42885.46614	3.5078259	2	29	2	2	2	2	2	2	-29.23076923	n/a	n/a
42888.98232	3.5078101	2	30	2	1	2	2	2	2	-29.23076923	n/a	n/a
42892.49846	3.4994939	2	31	2	1	2	1	3	2	-29.23076923	n/a	n/a
42896.00628	3.4995047	2	32	2	2	1	2	5	1	-29.23076923	n/a	n/a
42899.51412	3.50783	2	33	2	1	1	1	5	1	-29.23076923	n/a	n/a
42903.03025	3.5078086	2	34	2	1	1	1	2	1	-29.23076923	n/a	n/a
42906.55476	3.5078352	2	35	2	1	1	2	2	1	-29.23076923	n/a	n/a
42910.07091	3.5078232	2	36	2	2	1	1	3	1	-29.23076923	n/a	n/a
42913.58707	3.5078132	2	37	2	1	1	2	2	1	-29.23076923	n/a	n/a
42917.10323	3.5077693	2	38	2	1	1	2	3	2	-29.23076923	n/a	n/a
42920.61948	3.507685	2	39	2	1	2	2	2	1	-29.23076923	n/a	n/a
42924.13554	3.5078857	2	40	2	2	2	1	1	2	-29.23076923	n/a	n/a
42927.65167	3.5078215	2	41	2	2	1	2	4	2	-29.23076923	n/a	n/a
42931.16781	3.5078419	2	42	2	2	2	2	2	2	-29.23076923	n/a	n/a
42934.68397	3.5078204	2	43	2	2	2	2	4	1	-29.23076923	n/a	n/a
42938.20012	3.507791	2	44	2	1	1	1	5	1	-29.23076923	n/a	n/a
42941.71625	3.5079977	2	45	2	1	1	1	1	2	-29.23076923	n/a	n/a
42945.23243	3.5078379	2	46	2	1	2	1	3	2	-29.23076923	n/a	n/a
42948.7486	3.507879	2	47	2	2	2	2	1	1	-29.23076923	n/a	n/a
42952.26494	3.5076336	2	48	2	2	1	2	2	2	-29.23076923	n/a	n/a
