,onset,duration,run_number,trial_number,task,ext_mot_pos,ext_mot_ver_dir,staircase_num,fix_off_prct,trial_type,ext_mot_ori,direction_report,response_duration,trial_onset,trial_offset,button_press_onset,button_left,button_right,fix_break,motion_onset,motion_offset,fixation_onset,fixation_offset,response_onset,response_offset,trial_duration,fix_check_duration,fixation_duration,response_duration,motion_duration,reaction_time
0,440.7972913,4.1078354,1,1,1,2,1,2,5,2,-65,n/a,n/a,421546.0,425653.0,0.0,0.0,0.0,0.0,422646.0,424654.0,422646.0,425654.0,424661.0,425654.0,4107.0,1100.0,3008.0,993.0,2008.0,-424661.0
1,444.913464,3.5078735,1,2,1,1,2,1,5,2,-15,2.0,-0.049398,425660.0,429169.0,428129.0,0.0,428129.0,0.0,426179.0,428170.0,426179.0,429170.0,428177.0,429170.0,3509.0,519.0,2991.0,993.0,1991.0,-48.0
2,448.4297221,3.5079028,1,3,1,2,1,2,4,2,-65,1.0,-0.5579901,429176.0,432686.0,431136.0,431136.0,0.0,0.0,429695.0,431686.0,429695.0,432686.0,431693.0,432686.0,3510.0,519.0,2991.0,993.0,1991.0,-557.0
3,451.9461027,3.507781,1,4,1,1,2,2,2,2,-60,1.0,-0.773753,432693.0,436202.0,434437.0,434437.0,0.0,0.0,433210.0,435202.0,433211.0,436202.0,435209.0,436202.0,3509.0,518.0,2991.0,993.0,1992.0,-772.0
4,455.4622573,3.5161909,1,5,1,2,2,1,4,1,-20,2.0,-1.3746319,436210.0,439727.0,437360.0,0.0,437360.0,0.0,436736.0,438727.0,436737.0,439728.0,438735.0,439729.0,3517.0,527.0,2991.0,994.0,1991.0,-1375.0
5,458.9951273,3.5079181,1,6,1,1,2,1,1,1,-25,2.0,-0.6737824,439743.0,443252.0,441586.0,0.0,441586.0,0.0,440260.0,442251.0,440260.0,443252.0,442259.0,443253.0,3509.0,517.0,2992.0,994.0,1991.0,-673.0
6,462.51152,3.5077854,1,7,1,1,1,1,5,2,-30,2.0,0.0085787,443258.0,446768.0,445784.0,0.0,445784.0,0.0,443776.0,445767.0,443776.0,446768.0,445774.0,446768.0,3510.0,518.0,2992.0,994.0,1991.0,10.0
7,466.0275975,3.5079304,1,8,1,1,2,1,3,2,-35,1.0,-0.3651993,446774.0,450283.0,448927.0,448927.0,0.0,0.0,447293.0,449284.0,447293.0,450283.0,449290.0,450283.0,3509.0,519.0,2990.0,993.0,1991.0,-363.0
8,469.5439022,3.5078799,1,9,1,1,1,1,1,2,-30,2.0,-0.6387261,450290.0,453799.0,452171.0,0.0,452171.0,0.0,450809.0,452800.0,450809.0,453799.0,452807.0,453800.0,3509.0,519.0,2990.0,993.0,1991.0,-636.0
9,473.0601116,3.5080565,1,10,1,2,2,2,4,1,-55,1.0,-0.8320558,453807.0,457317.0,455493.0,455493.0,0.0,0.0,454325.0,456316.0,454325.0,457317.0,456323.0,457317.0,3510.0,518.0,2992.0,994.0,1991.0,-830.0
