onset	duration	run_number	trial_number	task	ext_mot_pos	ext_mot_ver_dir	staircase_num	fix_off_prct	trial_type	ext_mot_ori	direction_report	response_duration
3055.200441	3.7327003	2	1	1	2	2	2	2	2	-65	n/a	n/a
3058.941489	3.5078406	2	2	1	1	2	1	3	2	-15	1	-0.3829722
3062.457664	3.5078192	2	3	1	1	2	1	3	2	-10	1	-0.7244818
3065.973815	3.5078453	2	4	1	2	2	1	4	1	-5	1	-0.0995775
3069.498461	3.5160414	2	5	1	1	2	1	3	2	0	2	-0.582816
3073.031302	3.5076975	2	6	1	2	2	1	5	2	-5	1	-0.0491004
3076.54732	3.5078251	2	7	1	1	1	2	1	2	-65	2	-0.5828379
3080.063603	3.5077081	2	8	1	2	2	2	5	2	-70	2	0.0510277
3083.579697	3.507793	2	9	1	1	1	1	3	2	0	2	-0.616234
3087.095806	3.5078054	2	10	1	2	2	1	4	2	-5	1	-0.5738437
3090.611971	3.5078275	2	11	1	2	1	1	4	2	0	2	-0.5739213
3094.12813	3.5078352	2	12	1	2	2	1	2	2	-5	1	-0.4248044
3097.64439	3.5077506	2	13	1	1	2	1	5	2	0	2	-0.4913497
3101.160465	3.507825	2	14	1	2	2	2	1	1	-75	2	-0.2248406
3104.676661	3.507778	2	15	1	1	1	1	1	1	-5	1	-0.4664655
3108.192756	3.5078618	2	16	1	2	1	1	3	2	0	2	-0.4330398
3111.70895	3.508023503	2	17	1	1	1	1	2	2	-5	1	-0.0914236
3115.225097	3.5078679	2	18	1	1	2	2	4	2	-80	2	-0.2497395
3118.741372	3.5077331	2	19	1	1	1	1	5	1	0	2	-0.1080972
3122.257442	3.5078451	2	20	1	1	1	2	2	2	-85	2	-0.0164366
3125.773607	3.5078299	2	21	1	2	1	1	1	1	-5	1	-0.6247142
3129.289908	3.5076865	2	22	1	2	1	2	2	2	-90	2	-0.2580761
3132.80591	3.5079586	2	23	1	2	1	2	3	2	-95	2	-0.357946
3136.322106	3.5078186	2	24	1	1	1	1	4	2	0	2	-0.7075229
3139.838256	3.5078454	2	25	1	2	1	2	3	1	-100	2	-0.3580664
3143.354426	3.5078434	2	26	1	2	1	1	5	1	-5	1	-0.9330877
3146.870586	3.5078307	2	27	1	2	2	2	4	1	-105	2	-0.4748566
3150.386749	3.5078283	2	28	1	1	2	1	5	1	0	1	-0.3824861
3153.90301	3.5077169	2	29	1	1	1	1	1	2	5	1	-0.1914995
3157.41906	3.5079441	2	30	1	2	2	2	5	2	-110	2	-0.1659841
3160.935228	3.5078263	2	31	1	1	2	1	1	2	10	2	-0.6330357
3164.451522	3.5077126	2	32	1	2	2	1	2	1	5	2	-0.0914496
3167.9677	3.5077125	2	33	1	1	1	2	4	2	-115	1	-0.674622
3171.483725	3.5079693	2	34	1	2	2	2	4	2	-110	2	-0.2497436
3174.999922	3.5078072	2	35	1	2	1	1	1	2	0	2	-0.5996432
3178.516066	3.5078508	2	36	1	2	1	2	2	1	-115	1	-0.3747213
3182.032239	3.507817	2	37	1	1	1	1	4	2	-5	2	-0.3158019
3185.548458	3.5077733	2	38	1	1	1	2	4	1	-110	1	-0.0997861
3189.064551	3.5078364	2	39	1	2	2	1	5	1	-10	1	-0.449832
3192.580716	3.5078466	2	40	1	2	2	1	3	2	-5	1	-0.4913872
3196.096883	3.5078374	2	41	1	2	2	2	5	2	-105	2	-0.4579563
3199.613172	3.5077279	2	42	1	2	2	2	5	2	-110	2	-0.2331558
3203.129231	3.5078095	2	43	1	2	1	2	4	2	-115	1	-0.116531
3206.645362	3.5078307	2	44	1	2	2	2	1	1	-110	2	-0.4165298
3210.161527	3.4995169	2	45	1	2	2	2	1	2	-115	2	0.0753158
