,onset,duration,run_number,trial_number,task,ext_mot_pos,ext_mot_ver_dir,staircase_num,fix_off_prct,trial_type,ext_mot_ori,direction_report,response_duration,trial_onset,trial_offset,button_press_onset,button_left,button_right,fix_break,motion_onset,motion_offset,fixation_onset,fixation_offset,response_onset,response_offset,trial_duration,fix_check_duration,fixation_duration,response_duration,motion_duration,reaction_time
0,2516.119222,3.5410982,1,1,1,2,2,1,2,2,-15,n/a,n/a,92596.0,96136.0,0.0,0.0,0.0,0.0,93137.0,95137.0,93137.0,96138.0,95143.0,96139.0,3540.0,541.0,3001.0,996.0,2000.0,-95143.0
1,2519.677113,3.507698,1,2,1,1,2,1,1,1,-15,n/a,n/a,96153.0,99661.0,0.0,0.0,0.0,0.0,96670.0,98661.0,96670.0,99661.0,98668.0,99661.0,3508.0,517.0,2991.0,993.0,1991.0,-98668.0
2,2523.193274,3.5077104,1,3,1,1,2,2,5,1,-65,1.0,-1.1325339,99668.0,103177.0,101053.0,101053.0,0.0,0.0,100186.0,102177.0,100186.0,103177.0,102184.0,103177.0,3509.0,518.0,2991.0,993.0,1991.0,-1131.0
3,2526.709317,3.5078268,1,4,1,1,1,1,2,2,-15,1.0,-0.6328001,103184.0,106693.0,105069.0,105069.0,0.0,0.0,103702.0,105694.0,103702.0,106693.0,105700.0,106693.0,3509.0,518.0,2991.0,993.0,1992.0,-631.0
4,2530.225457,3.5161687,1,5,1,2,1,2,5,2,-60,2.0,-1.1910817,106700.0,110218.0,108035.0,0.0,108035.0,0.0,107227.0,109218.0,107228.0,110219.0,109225.0,110220.0,3518.0,528.0,2991.0,995.0,1991.0,-1190.0
5,2533.75829,3.5078469,1,6,1,2,2,2,4,1,-65,1.0,-0.8994246,110234.0,113743.0,111852.0,111852.0,0.0,0.0,110751.0,112742.0,110751.0,113743.0,112749.0,113744.0,3509.0,517.0,2992.0,995.0,1991.0,-897.0
6,2537.274671,3.507614744,1,7,1,2,1,1,3,2,-10,1.0,-0.8904823,113749.0,117258.0,115376.0,115376.0,0.0,0.0,114267.0,116258.0,114267.0,117258.0,116265.0,117258.0,3509.0,518.0,2991.0,993.0,1991.0,-889.0
7,2540.790601,3.5078489,1,8,1,1,1,1,3,1,-5,1.0,-0.3572332,117265.0,120774.0,119426.0,119426.0,0.0,0.0,117783.0,119775.0,117783.0,120774.0,119781.0,120774.0,3509.0,518.0,2991.0,993.0,1992.0,-355.0
8,2544.306773,3.5078048,1,9,1,1,1,1,4,1,0,2.0,-0.8910241,120781.0,124291.0,122409.0,0.0,122409.0,0.0,121299.0,123291.0,121299.0,124291.0,123297.0,124291.0,3510.0,518.0,2992.0,994.0,1992.0,-888.0
9,2547.822931,3.5078127,1,10,1,1,2,2,5,1,-60,2.0,-0.916086,124297.0,127807.0,125899.0,0.0,125899.0,0.0,124815.0,126806.0,124815.0,127807.0,126813.0,127807.0,3510.0,518.0,2992.0,994.0,1991.0,-914.0
10,2551.339077,3.507808,1,11,1,2,2,1,2,1,-5,1.0,-1.1161912,127813.0,131323.0,129215.0,129215.0,0.0,0.0,128332.0,130323.0,128332.0,131323.0,130330.0,131323.0,3510.0,519.0,2991.0,993.0,1991.0,-1115.0
11,2554.855236,3.507858,1,12,1,1,2,1,4,2,0,2.0,-0.8246183,131329.0,134838.0,133023.0,0.0,133023.0,0.0,131848.0,133839.0,131848.0,134839.0,133846.0,134839.0,3509.0,519.0,2991.0,993.0,1991.0,-823.0
12,2558.371425,3.5078304,1,13,1,1,1,1,4,2,-5,1.0,-0.8413545,134846.0,138355.0,136523.0,136523.0,0.0,0.0,135364.0,137355.0,135364.0,138355.0,137362.0,138355.0,3509.0,518.0,2991.0,993.0,1991.0,-839.0
13,2561.89592,3.5077903,1,14,1,1,1,2,1,1,-65,2.0,-0.5573289,138370.0,141879.0,140331.0,0.0,140331.0,0.0,138889.0,140880.0,138889.0,141879.0,140886.0,141879.0,3509.0,519.0,2990.0,993.0,1991.0,-555.0
14,2565.41207,3.5078377,1,15,1,2,2,1,4,2,0,2.0,-0.3165246,141886.0,145395.0,144088.0,0.0,144088.0,0.0,142405.0,144396.0,142405.0,145395.0,144403.0,145396.0,3509.0,519.0,2990.0,993.0,1991.0,-315.0
15,2568.928232,3.507839,1,16,1,1,2,1,3,2,-5,1.0,-0.8829973,145402.0,148912.0,147038.0,147038.0,0.0,0.0,145921.0,147912.0,145921.0,148912.0,147919.0,148912.0,3510.0,519.0,2991.0,993.0,1991.0,-881.0
16,2572.444394,3.5078348,1,17,1,2,1,1,3,1,0,2.0,-1.0747665,148919.0,152428.0,150362.0,0.0,150362.0,0.0,149436.0,151429.0,149436.0,152428.0,151435.0,152428.0,3509.0,517.0,2992.0,993.0,1993.0,-1073.0
17,2575.960562,3.5078321,1,18,1,2,2,1,3,1,-5,1.0,-0.5748444,152435.0,155944.0,154378.0,154378.0,0.0,0.0,152953.0,154945.0,152953.0,155944.0,154951.0,155944.0,3509.0,518.0,2991.0,993.0,1992.0,-573.0
18,2579.476722,3.5078334,1,19,1,1,2,1,5,2,0,2.0,-0.1080273,155951.0,159461.0,158361.0,0.0,158361.0,0.0,156469.0,158460.0,156469.0,159461.0,158467.0,159461.0,3510.0,518.0,2992.0,994.0,1991.0,-106.0
19,2582.99287,3.5079354,1,20,1,2,2,2,1,1,-70,2.0,-0.6163472,159467.0,162977.0,161369.0,0.0,161369.0,0.0,159985.0,161976.0,159985.0,162977.0,161983.0,162977.0,3510.0,518.0,2992.0,994.0,1991.0,-614.0
20,2586.509166,3.5076989,1,21,1,1,2,1,4,1,-5,1.0,-0.8329117,162983.0,166492.0,164668.0,164668.0,0.0,0.0,163502.0,165493.0,163502.0,166492.0,165500.0,166492.0,3509.0,519.0,2990.0,992.0,1991.0,-832.0
21,2590.025172,3.5078654,1,22,1,1,2,2,1,1,-75,2.0,-0.4246871,166499.0,170008.0,168592.0,0.0,168592.0,0.0,167018.0,169009.0,167018.0,170008.0,169016.0,170009.0,3509.0,519.0,2990.0,993.0,1991.0,-424.0
22,2593.541377,3.5077985,1,23,1,1,2,2,2,1,-80,2.0,-0.5663311,170016.0,173525.0,171967.0,0.0,171967.0,0.0,170533.0,172525.0,170533.0,173525.0,172532.0,173525.0,3509.0,517.0,2992.0,993.0,1992.0,-565.0
23,2597.057501,3.5078479,1,24,1,1,2,2,2,2,-85,2.0,-0.2747136,173532.0,177041.0,175775.0,0.0,175775.0,0.0,174049.0,176042.0,174049.0,177041.0,176048.0,177041.0,3509.0,517.0,2992.0,993.0,1993.0,-273.0
24,2600.573665,3.507808,1,25,1,2,1,2,2,1,-90,2.0,-0.4246682,177048.0,180557.0,179141.0,0.0,179141.0,0.0,177566.0,179558.0,177566.0,180558.0,179564.0,180558.0,3509.0,518.0,2992.0,994.0,1992.0,-423.0
25,2604.089832,3.5078417,1,26,1,1,1,1,3,2,0,2.0,-0.5663271,180564.0,184074.0,182515.0,0.0,182515.0,0.0,181082.0,183073.0,181082.0,184074.0,183080.0,184074.0,3510.0,518.0,2992.0,994.0,1991.0,-565.0
26,2607.606006,3.5078398,1,27,1,2,1,2,2,2,-95,2.0,-0.6830047,184080.0,187589.0,185915.0,0.0,185915.0,0.0,184598.0,186590.0,184598.0,187589.0,186596.0,187589.0,3509.0,518.0,2991.0,993.0,1992.0,-681.0
27,2611.122175,3.5077959,1,28,1,1,1,2,2,1,-100,2.0,-0.8075165,187596.0,191105.0,189306.0,0.0,189306.0,0.0,188115.0,190106.0,188115.0,191105.0,190112.0,191105.0,3509.0,519.0,2990.0,993.0,1991.0,-806.0
28,2614.638332,3.507817,1,29,1,2,2,1,4,1,-5,1.0,-0.8409253,191112.0,194622.0,192789.0,192789.0,0.0,0.0,191630.0,193622.0,191630.0,194622.0,193628.0,194622.0,3510.0,518.0,2992.0,994.0,1992.0,-839.0
29,2618.154494,3.5078324,1,30,1,2,2,1,3,1,0,2.0,-1.0746104,194629.0,198138.0,196072.0,0.0,196072.0,0.0,195146.0,197138.0,195146.0,198138.0,197145.0,198138.0,3509.0,517.0,2992.0,993.0,1992.0,-1073.0
30,2621.670787,3.5076936,1,31,1,1,1,2,5,2,-105,2.0,-0.3829664,198145.0,201654.0,200280.0,0.0,200280.0,0.0,198663.0,200655.0,198663.0,201654.0,200661.0,201654.0,3509.0,518.0,2991.0,993.0,1992.0,-381.0
31,2625.186811,3.5078338,1,32,1,2,2,1,3,1,-5,1.0,-0.7913304,201661.0,205170.0,203387.0,203387.0,0.0,0.0,202179.0,204170.0,202179.0,205171.0,204177.0,205171.0,3509.0,518.0,2992.0,994.0,1991.0,-790.0
32,2628.702975,3.5078315,1,33,1,2,1,1,1,2,0,2.0,-0.5330305,205177.0,208686.0,207162.0,0.0,207162.0,0.0,205695.0,207686.0,205695.0,208686.0,207693.0,208686.0,3509.0,518.0,2991.0,993.0,1991.0,-531.0
