onset	duration	run_number	trial_number	task	ext_mot_pos	ext_mot_ver_dir	staircase_num	fix_off_prct	trial_type	ext_mot_ori	direction_report	response_duration
1279.620551	3.6244393	1	1	2	2	2	2	5	1	22.16346154	n/a	n/a
1283.253334	3.5078381	1	2	2	2	2	1	5	2	22.16346154	n/a	n/a
1286.769492	3.5078221	1	3	2	1	1	2	4	1	22.16346154	n/a	n/a
1290.285641	3.5078446	1	4	2	1	2	2	5	2	22.16346154	n/a	n/a
1293.801822	3.5162216	1	5	2	2	2	1	2	2	22.16346154	n/a	n/a
1297.326278	3.6661505	1	6	2	2	1	1	3	2	22.16346154	n/a	n/a
1301.000749	3.5078335	1	7	2	2	1	1	4	2	22.16346154	n/a	n/a
1304.516918	3.5078236	1	8	2	1	1	2	4	1	22.16346154	n/a	n/a
1308.033075	3.5078288	1	9	2	1	1	2	1	2	22.16346154	n/a	n/a
1311.549233	3.5078406	1	10	2	2	1	2	1	1	22.16346154	n/a	n/a
1315.065559	3.5076423	1	11	2	2	1	2	1	1	22.16346154	n/a	n/a
1318.581589	3.507791	1	12	2	1	1	2	5	2	22.16346154	n/a	n/a
1322.097683	3.6245012	1	13	2	1	2	2	3	1	22.16346154	n/a	n/a
1325.73051	3.5078486	1	14	2	1	1	1	1	2	22.16346154	n/a	n/a
1329.246898	3.507603165	1	15	2	1	1	2	5	1	22.16346154	n/a	n/a
1332.762829	3.5078283	1	16	2	2	1	2	2	2	22.16346154	n/a	n/a
1336.278984	3.5078437	1	17	2	2	1	1	4	2	22.16346154	n/a	n/a
1339.795158	3.5078097	1	18	2	1	1	1	4	1	22.16346154	n/a	n/a
1343.311417	3.5076789	1	19	2	2	1	2	3	1	22.16346154	n/a	n/a
1346.827449	3.5078348	1	20	2	1	1	1	2	1	22.16346154	n/a	n/a
1350.343737	3.5243496	1	21	2	1	2	1	4	1	22.16346154	n/a	n/a
1353.876436	3.5080387	1	22	2	1	1	2	4	2	22.16346154	n/a	n/a
1357.39277	3.507675	1	23	2	2	2	2	4	1	22.16346154	n/a	n/a
1360.908772	3.5078316	1	24	2	2	2	1	5	1	22.16346154	n/a	n/a
1364.42493	3.5078147	1	25	2	1	1	1	4	2	22.16346154	n/a	n/a
1367.94109	3.5078079	1	26	2	2	2	2	3	2	22.16346154	n/a	n/a
1371.457208	3.5078658	1	27	2	2	2	2	2	2	22.16346154	n/a	n/a
1374.973411	3.5078141	1	28	2	1	1	1	3	1	22.16346154	n/a	n/a
1378.48955	3.507827	1	29	2	1	1	2	4	1	22.16346154	n/a	n/a
1382.005706	3.5078332	1	30	2	1	2	1	5	1	22.16346154	n/a	n/a
1385.530217	3.5078246	1	31	2	2	2	1	2	2	22.16346154	n/a	n/a
1389.046343	3.5078447	1	32	2	1	2	2	1	1	22.16346154	n/a	n/a
1392.562516	3.5078064	1	33	2	2	1	1	1	1	22.16346154	n/a	n/a
1396.078792	3.507698	1	34	2	1	2	2	2	1	22.16346154	n/a	n/a
1399.594823	3.5077986	1	35	2	2	2	1	4	2	22.16346154	n/a	n/a
1403.110983	3.5078529	1	36	2	1	1	1	1	1	22.16346154	n/a	n/a
1406.62716	3.5078383	1	37	2	2	1	1	5	1	22.16346154	n/a	n/a
1410.143332	3.5078125	1	38	2	1	1	1	2	1	22.16346154	n/a	n/a
1413.659465	3.5079352	1	39	2	1	1	2	2	1	22.16346154	n/a	n/a
1417.175634	3.5078162	1	40	2	2	2	2	2	2	22.16346154	n/a	n/a
1420.691859	3.5077794	1	41	2	2	1	2	3	1	22.16346154	n/a	n/a
1424.20796	3.5078241	1	42	2	2	2	2	1	2	22.16346154	n/a	n/a
1427.724114	3.5078591	1	43	2	2	2	2	1	2	22.16346154	n/a	n/a
1431.240279	3.5078383	1	44	2	1	2	1	5	1	22.16346154	n/a	n/a
1434.756484	3.5077816	1	45	2	1	2	2	5	2	22.16346154	n/a	n/a
1438.272598	3.507838	1	46	2	2	1	2	1	1	22.16346154	n/a	n/a
1441.788767	3.5078117	1	47	2	2	1	2	1	1	22.16346154	n/a	n/a
1445.305044	3.5076858	1	48	2	2	2	2	4	1	22.16346154	n/a	n/a
1448.821062	3.5078406	1	49	2	1	2	1	2	2	22.16346154	n/a	n/a
1452.337225	3.5078683	1	50	2	2	1	2	2	1	22.16346154	n/a	n/a
1455.853568	3.5076582	1	51	2	2	2	1	3	1	22.16346154	n/a	n/a
1459.369561	3.5078267	1	52	2	1	1	2	2	1	22.16346154	n/a	n/a
1462.88572	3.5078236	1	53	2	1	2	1	3	1	22.16346154	n/a	n/a
1466.401878	3.507827	1	54	2	1	1	2	4	2	22.16346154	n/a	n/a
1469.918054	3.507815	1	55	2	1	1	1	4	2	22.16346154	n/a	n/a
1473.4342	3.5078286	1	56	2	2	2	1	4	2	22.16346154	n/a	n/a
1476.950358	3.5078478	1	57	2	1	2	1	2	1	22.16346154	n/a	n/a
1480.466535	3.5078156	1	58	2	1	2	2	5	2	22.16346154	n/a	n/a
1483.982687	3.5078398	1	59	2	2	2	2	5	1	22.16346154	n/a	n/a
1487.498848	3.507837	1	60	2	2	1	2	4	2	22.16346154	n/a	n/a
1491.015173	3.5076453	1	61	2	1	1	2	5	2	22.16346154	n/a	n/a
