onset	duration	run_number	trial_number	task	ext_mot_pos	ext_mot_ver_dir	staircase_num	fix_off_prct	trial_type	exp_mot_ori	direction_report	response_duration
6596.940144	3.7578513	2	1	1	2	1	1	3	2	15	2	0.3337043
6600.70633	3.5079066	2	2	1	2	1	2	4	1	65	1	0.4752736
6604.222554	3.5079253	2	3	1	1	2	1	5	1	20	2	0.4087105
6607.738809	3.5078938	2	4	1	2	1	1	3	2	25	2	0.0919796
6611.255031	3.5164147	2	5	1	1	1	1	5	1	30	2	0.2758424
6614.788024	3.5078334	2	6	1	1	2	2	3	2	60	1	0.3670804
6618.304175	3.5162412	2	7	1	2	1	1	5	1	35	2	0.3774949
6625.919921	3.5078698	2	8	1	2	1	1	2	2	40	1	0.3835376
6629.436156	3.5078862	2	9	1	1	1	1	3	1	35	1	0.2502179
6632.952385	3.5079003	2	10	1	1	1	2	2	2	55	1	0.2508944
6636.468619	3.5078715	2	11	1	1	2	1	4	2	30	1	-0.0494001
6639.98482	3.5079233	2	12	1	1	1	2	1	2	50	1	0.3668542
6643.501052	3.5079032	2	13	1	1	2	1	3	1	25	2	0.3334852
6647.017289	3.5078852	2	14	1	1	1	1	1	2	30	2	0.3585005
6650.533505	3.5080212	2	15	1	1	2	1	2	2	35	2	0.1084715
6654.049765	3.507924	2	16	1	1	2	1	5	1	40	2	0.4084925
6657.566112	3.5077962	2	17	1	2	2	2	2	2	45	2	0.3085506
6661.082373	3.5077915	2	18	1	1	1	2	3	1	50	1	0.2917642
6664.598473	3.5078908	2	19	1	2	2	1	4	1	45	2	0.2834991
6668.114694	3.5078458	2	20	1	2	1	1	3	1	50	1	0.2917192
6671.630874	3.5078153	2	21	1	1	1	2	1	2	45	1	0.1501291
6675.147029	3.5078745	2	22	1	1	2	2	1	1	40	2	-0.0579751
6678.663176	3.5078158	2	23	1	2	2	1	5	1	45	1	0.1751238
6682.179345	3.507823	2	24	1	1	1	1	3	2	40	1	0.2668163
6685.695627	3.5076765	2	25	1	2	1	1	1	1	35	1	0.2667512
6689.211878	3.507593822	2	26	1	2	2	2	2	1	45	2	0.2001611
6692.727806	3.5078057	2	27	1	1	1	2	3	1	50	1	0.250113
6696.243969	3.5078121	2	28	1	2	2	1	3	1	30	2	0.2168223
6699.760111	3.5078313	2	29	1	2	2	1	4	2	35	2	0.0335423
6703.276265	3.5077901	2	30	1	2	1	2	5	1	45	1	0.3334618
6706.792487	3.5077419	2	31	1	2	2	1	1	2	40	2	0.2920751
6710.308533	3.5078319	2	32	1	2	2	2	2	1	40	2	0.2751271
6713.824693	3.5078386	2	33	1	1	2	1	2	2	45	2	0.4999965
6717.340856	3.6079868	2	34	1	1	2	2	3	2	45	2	0.5167868
6720.957135	3.5076626	2	35	1	2	2	1	5	2	50	1	0.3168076
6724.473251	3.507960456	2	36	1	2	1	1	3	1	45	1	0.3584488
6727.989456	3.5076861	2	37	1	2	2	1	1	2	40	2	0.5088485
6731.505475	3.507818	2	38	1	2	1	2	5	2	50	1	0.3251047
6735.02163	3.5078299	2	39	1	2	1	1	2	1	45	1	0.375158
6738.537775	3.5078308	2	40	1	1	2	1	2	2	40	2	0.2084892
6742.05408	3.5076741	2	41	1	2	1	2	4	2	45	2	0.3085354
6745.57011	3.5078214	2	42	1	2	2	2	4	1	50	2	0.3334768
6749.086261	3.5078232	2	43	1	1	2	1	1	1	45	2	0.3169787
6752.602417	3.5078066	2	44	1	2	2	2	1	1	55	1	0.2416539
6756.118549	3.5078156	2	45	1	2	2	2	4	2	50	1	0.4251164
6759.634704	3.5078314	2	46	1	1	2	2	3	2	45	2	0.3334432
6763.15087	3.5078093	2	47	1	2	2	1	3	1	50	2	0.0668302
6766.667012	3.5078553	2	48	1	1	2	1	4	2	55	1	0.4084496
6770.183224	3.5077954	2	49	1	2	2	2	4	1	50	1	0.2501367
