onset	duration	run_number	trial_number	task	ext_mot_pos	ext_mot_ver_dir	staircase_num	fix_off_prct	trial_type	ext_mot_ori	direction_report	response_duration
5244.444984	3.7077937	2	1	1	2	2	2	2	1	-65	n/a	n/a
5248.161109	3.5078539	2	2	1	2	1	1	4	2	-15	n/a	n/a
5251.677307	3.5078517	2	3	1	2	2	1	3	2	-15	2	0.3003526
5255.193498	3.5077941	2	4	1	2	2	2	1	1	-65	n/a	n/a
5258.709657	3.5161571	2	5	1	2	2	2	2	2	-65	n/a	n/a
5262.234141	3.5078627	2	6	1	1	1	1	1	1	-20	2	0.3337184
5265.750334	3.507836	2	7	1	1	1	2	3	2	-65	2	0.3838936
5269.266497	3.507892	2	8	1	1	2	2	1	1	-70	n/a	n/a
5272.782689	3.5078536	2	9	1	1	1	1	5	1	-25	2	0.4754433
5276.298877	3.507842	2	10	1	1	2	2	3	2	-70	n/a	n/a
5279.815048	3.5078351	2	11	1	1	1	1	1	1	-30	n/a	n/a
5283.331351	3.5077056	2	12	1	1	2	1	3	2	-30	2	0.2844084
5286.847388	3.5078547	2	13	1	2	1	1	4	1	-35	n/a	n/a
5290.363583	3.507848	2	14	1	2	1	2	4	1	-70	n/a	n/a
5293.879746	3.507986	2	15	1	2	2	1	5	1	-35	2	0.3001602
5297.396053	3.5077326	2	16	1	2	2	2	5	1	-70	n/a	n/a
5300.912111	3.5078427	2	17	1	2	1	2	4	2	-70	n/a	n/a
5304.428273	3.5078448	2	18	1	2	1	1	3	2	-40	n/a	n/a
5307.94443	3.5078626	2	19	1	1	1	2	3	1	-70	2	0.3170483
5311.460773	3.5076824	2	20	1	1	1	1	5	2	-40	2	0.3084294
5314.976785	3.5078471	2	21	1	1	2	2	1	2	-75	n/a	n/a
5318.493201	3.507635322	2	22	1	1	1	1	1	1	-45	n/a	n/a
5322.009168	3.5078279	2	23	1	1	1	1	4	1	-45	n/a	n/a
5325.525332	3.507858	2	24	1	1	1	2	2	1	-75	n/a	n/a
5329.04153	3.5078223	2	25	1	1	1	2	4	1	-75	n/a	n/a
5332.557685	3.5078368	2	26	1	2	1	2	1	1	-75	n/a	n/a
5336.073876	3.5078195	2	27	1	2	2	2	3	1	-75	n/a	n/a
5339.590042	3.5078359	2	28	1	2	1	2	4	2	-75	n/a	n/a
5343.114558	3.5078062	2	29	1	2	2	1	2	1	-45	2	0.3252235
5346.630843	3.5077279	2	30	1	1	2	1	5	1	-50	n/a	n/a
5350.146905	3.507812	2	31	1	2	2	2	5	2	-75	n/a	n/a
5353.663203	3.5077383	2	32	1	1	1	2	1	1	-75	n/a	n/a
5357.179432	3.5076664	2	33	1	1	2	1	1	1	-50	n/a	n/a
5360.695433	3.5078256	2	34	1	2	2	1	1	2	-50	2	0.2667861
5364.211594	3.5078441	2	35	1	2	1	2	2	2	-75	n/a	n/a
5367.727772	3.5078549	2	36	1	2	1	2	4	2	-75	n/a	n/a
5371.243936	3.5078554	2	37	1	1	2	2	1	1	-75	n/a	n/a
5374.760151	3.5078251	2	38	1	1	2	1	3	1	-55	n/a	n/a
5378.276328	3.5079586	2	39	1	2	2	1	5	1	-55	2	0.3334902
5381.792622	3.5077291	2	40	1	1	1	1	1	2	-60	n/a	n/a
5385.308688	3.5078321	2	41	1	2	1	2	2	1	-75	n/a	n/a
5388.824847	3.5078322	2	42	1	1	1	1	1	1	-60	n/a	n/a
5392.341016	3.5078686	2	43	1	1	1	2	4	2	-75	n/a	n/a
5395.85722	3.5078949	2	44	1	1	1	2	2	1	-75	n/a	n/a
5399.373518	3.5077035	2	45	1	1	1	1	1	2	-60	n/a	n/a
5402.88956	3.507929	2	46	1	2	1	1	5	2	-60	n/a	n/a
5406.405822	3.5077772	2	47	1	2	2	2	3	1	-75	n/a	n/a
5409.921958	3.5077788	2	48	1	2	2	2	5	1	-75	n/a	n/a
5413.438068	3.5078509	2	49	1	2	2	2	1	2	-75	n/a	n/a
5416.954209	3.507897	2	50	1	2	1	1	3	2	-60	2	0.2918042
5420.470438	3.50783	2	51	1	1	2	1	1	1	-65	n/a	n/a
5423.98673	3.5077435	2	52	1	1	1	2	4	1	-75	n/a	n/a
5427.502805	3.5078311	2	53	1	2	2	2	1	1	-75	2	0.3421585
5431.018971	3.5078432	2	54	1	1	2	2	4	2	-80	n/a	n/a
5434.53515	3.5078559	2	55	1	1	1	1	2	2	-65	n/a	n/a
5438.051364	3.5078019	2	56	1	1	1	2	5	2	-80	n/a	n/a
5441.56762	3.5077618	2	57	1	1	1	2	5	2	-80	n/a	n/a
5445.08369	3.5078103	2	58	1	1	2	2	3	2	-80	n/a	n/a
5448.599841	3.5078734	2	59	1	2	1	2	2	1	-80	2	0.8000713
5452.116036	3.608041269	2	60	1	1	1	1	3	2	-65	n/a	n/a
5455.732175	3.5828565	2	61	1	2	2	1	4	1	-65	2	0.6002399
5459.323362	3.5078289	2	62	1	2	2	2	4	2	-85	n/a	n/a
5462.839516	3.5078474	2	63	1	1	1	2	5	2	-85	n/a	n/a
5466.355774	3.6577584	2	64	1	2	1	2	4	2	-85	n/a	n/a
5470.021866	3.5078477	2	65	1	2	1	2	2	2	-85	n/a	n/a
5473.538042	3.507862	2	66	1	1	1	1	3	2	-70	n/a	n/a
5477.054224	3.5078597	2	67	1	1	2	1	4	1	-70	2	0.3584576
5480.570415	3.507847	2	68	1	1	1	2	2	1	-85	n/a	n/a
5484.08658	3.5078458	2	69	1	1	2	1	1	1	-75	n/a	n/a
5487.60274	3.5078641	2	70	1	1	1	2	2	1	-85	n/a	n/a
5491.119031	3.5077196	2	71	1	2	2	2	1	2	-85	2	0.5499297
5494.635245	3.6076981	2	72	1	2	1	1	3	2	-75	n/a	n/a
5498.251279	3.5078399	2	73	1	2	1	1	4	2	-75	n/a	n/a
5501.767449	3.5078344	2	74	1	2	2	2	1	1	-90	n/a	n/a
5505.28361	3.5078777	2	75	1	2	2	1	1	2	-75	n/a	n/a
5508.799817	3.5078209	2	76	1	2	2	2	1	2	-90	2	0.341791
5512.315927	3.4995651	2	77	1	1	2	1	3	2	-75	n/a	n/a
5515.823813	3.5078458	2	78	1	1	1	2	2	2	-95	2	0.3584489
5519.339994	3.5078492	2	79	1	2	1	1	3	2	-75	n/a	n/a
5522.856179	3.5078572	2	80	1	2	1	2	4	2	-100	2	0.3251404
5526.372377	3.5078462	2	81	1	2	1	1	2	1	-75	n/a	n/a
5529.888713	3.5076523	2	82	1	1	1	2	5	1	-105	2	0.391817
5533.404719	3.5078473	2	83	1	2	2	1	2	1	-75	n/a	n/a
5536.921035	3.5077249	2	84	1	1	1	2	4	2	-110	2	0.3084736
5540.437087	3.50785	2	85	1	1	1	1	3	2	-75	n/a	n/a
5543.953233	3.5078828	2	86	1	1	1	1	5	1	-75	n/a	n/a
5547.46964	3.5076257	2	87	1	2	2	2	1	1	-115	2	0.5334376
