onset	duration	run_number	trial_number	ext_mot_pos	ext_mot_ori	ext_mot_ver_dir	fix_off_prct	direction_report	response_duration
2552.754398	3.8327368	1	1	2	3	2	2	1	-0.5162561
2556.595489	3.5327928	1	2	1	6	2	5	2	-0.0662892
2560.136746	3.5577069	1	3	2	4	2	1	2	-0.5496098
2563.702951	3.5243494	1	4	2	6	2	5	1	-0.1497213
2567.235843	3.540962672	1	5	2	3	2	2	2	-0.2658112
2570.793619	3.5243188	1	6	2	1	1	5	2	0.1339302
2574.326515	3.524247522	1	7	2	10	1	3	1	-0.1328776
2577.859331	3.532595931	1	8	2	4	2	3	2	-0.1142216
2581.40046	3.5242964	1	9	1	7	1	1	2	-0.6162274
2584.933318	3.524405544	1	10	2	6	2	5	1	0.1419239
2588.466107	3.5242871	1	11	1	1	1	4	2	0.0252229
2591.998897	3.5243425	1	12	2	7	2	4	1	0.5762884
2595.531701	3.5243643	1	13	1	4	2	3	2	-0.2914905
2599.064478	3.7243745	1	14	2	5	1	5	2	-0.1916067
2602.797268	3.5244135	1	15	2	2	2	4	1	0.4918575
2606.330109	3.5243945	1	16	1	9	1	4	1	-0.0748128
2609.862903	3.52443	1	17	1	6	2	1	1	-0.5248118
2613.395742	3.5244581	1	18	2	8	2	2	1	-0.4164918
2616.928694	3.5245405	1	19	2	2	2	1	2	-0.4331596
2620.461511	3.5243465	1	20	1	2	1	4	2	-0.1749447
2623.994257	3.5244403	1	21	1	3	2	4	2	-0.2415291
2627.527169	3.5243451	1	22	1	10	2	3	1	-0.4078261
2631.060003	3.5244472	1	23	2	5	2	2	1	0.0583546
2634.592753	3.5244536	1	24	1	2	2	4	2	-0.0498581
2638.125588	3.5327445	1	25	2	2	2	2	2	0.3588336
2641.666899	3.52428081	1	26	1	5	1	1	2	-0.4664662
2645.199706	3.524303	1	27	1	4	2	2	1	0.2667073
2648.73239	3.5244516	1	28	2	10	1	1	1	-0.4331778
2652.265383	3.52425191	1	29	2	8	2	4	1	-0.0915373
2655.798059	3.5244156	1	30	1	10	2	5	1	0.0334994
2659.330947	3.5243454	1	31	2	9	1	2	1	-0.2415485
2662.863688	3.5244523	1	32	1	1	1	1	2	-0.3581575
2666.396615	3.5243513	1	33	2	3	1	4	2	-0.0246427
2669.929395	3.5244257	1	34	2	4	1	3	1	0.0167344
2673.462213	3.5243952	1	35	1	1	1	2	1	-0.0498716
2676.995153	3.5243141	1	36	2	9	1	2	1	-0.3915169
2680.536219	3.5244069	1	37	2	9	1	4	1	0.3083967
2684.069132	3.5245039	1	38	1	3	1	4	n/a	n/a
2687.601905	3.7409958	1	39	1	3	1	1	2	-0.6998162
2691.351482	3.5243011	1	40	1	1	1	4	2	-0.2165254
2694.884307	3.524331797	1	41	1	5	1	3	2	-0.0666399
2698.417072	3.5243173	1	42	2	6	2	3	1	-0.4248138
2701.949978	3.524248375	1	43	2	7	2	1	1	-0.12489
2705.4826	3.5244503	1	44	2	10	1	2	1	-0.46649
2709.015546	3.5243414	1	45	1	9	2	3	1	0.1417521
2712.548299	3.5244266	1	46	2	5	1	2	1	-0.0165821
2716.081285	3.52427611	1	47	1	4	2	1	2	-0.4164922
2719.614014	3.5243487	1	48	2	8	1	2	1	-0.2498732
2723.146823	3.5243727	1	49	1	9	2	4	1	-0.2665685
2726.6797	3.5244862	1	50	1	2	2	1	2	-0.4498169
2730.212581	3.52427919	1	51	2	10	1	3	1	-0.3081406
2733.745436	3.524267744	1	52	1	10	1	1	1	-0.8332231
2737.278196	3.5243426	1	53	1	9	1	3	1	-0.4248443
2740.810996	3.5243773	1	54	1	7	2	5	1	-0.0917207
2744.343908	3.5242877	1	55	1	10	1	4	1	-0.0081041
2747.876743	3.524266022	1	56	1	7	1	4	1	-0.0998401
2751.409514	3.5243081	1	57	1	8	1	5	1	0.0418392
2754.942239	3.5244303	1	58	1	8	1	3	1	-0.1498097
2758.475039	3.5244725	1	59	1	3	1	3	2	-0.1914862
2762.008066	3.5242657	1	60	1	5	1	2	2	0.2167358
2765.54071	3.5244567	1	61	2	1	1	4	2	-0.0915421
2769.073577	3.5244125	1	62	2	1	2	4	2	-0.1081989
2772.606553	3.524283622	1	63	1	4	1	3	1	-0.0496123
2776.139234	3.5244786	1	64	2	3	1	5	2	-0.0417248
2779.67216	3.5243542	1	65	2	4	1	1	2	-0.3914866
2783.20493	3.5244	1	66	1	6	2	4	1	-0.0915735
2786.737772	3.5243702	1	67	2	6	1	3	1	-0.2664886
2790.270641	3.5243765	1	68	2	7	2	1	1	-0.3079031
2793.803533	3.524269	1	69	1	2	2	3	2	-0.3498144
2797.33639	3.524289397	1	70	2	7	2	1	1	-0.5081536
2800.869116	3.5243795	1	71	2	9	1	3	1	-0.3412962
2804.40199	3.5243085	1	72	1	5	2	5	2	0.0022413
2807.934729	3.5244081	1	73	1	6	1	5	1	0.0917598
2811.467707	3.5242592	1	74	1	8	2	3	1	-0.0915883
2815.000417	3.5243813	1	75	2	2	2	4	2	-0.0332012
2818.53334	3.5242947	1	76	2	8	2	2	1	-0.557797
2822.066124	3.5243581	1	77	1	7	2	1	1	-0.5664868
2825.598878	3.5244364	1	78	2	1	2	1	2	-0.474829
2829.131802	3.5243222	1	79	2	5	2	1	2	-0.4748516
2832.664701	3.524277663	1	80	1	8	1	1	1	-0.5581412
