,onset,duration,run_number,trial_number,task,ext_mot_pos,ext_mot_ver_dir,staircase_num,fix_off_prct,trial_type,exp_mot_ori,direction_report,response_duration,trial_onset,trial_offset,button_press_onset,button_left,button_right,fix_break,motion_onset,motion_offset,fixation_onset,fixation_offset,response_onset,response_offset,trial_duration,fix_check_duration,fixation_duration,response_duration,motion_duration,reaction_time
0,1413.387042,3.7828125,1,1,1,1,1,2,3,1,65,1.0,0.4255046,1324306.0,1328089.0,1327523.0,1327523.0,0.0,0.0,1325090.0,1327089.0,1325090.0,1328090.0,1327096.0,1328090.0,3783.0,784.0,3000.0,994.0,1999.0,427.0
1,1417.178175,3.5078584,1,2,1,1,2,1,1,2,15,2.0,0.3337709,1328096.0,1331606.0,1330947.0,0.0,1330947.0,0.0,1328614.0,1330605.0,1328615.0,1331606.0,1330612.0,1331606.0,3510.0,519.0,2991.0,994.0,1991.0,335.0
2,1420.69438,3.5077835,1,3,1,2,1,2,3,2,60,1.0,0.5004585,1331612.0,1335121.0,1334630.0,1334630.0,0.0,0.0,1332130.0,1334121.0,1332131.0,1335121.0,1334128.0,1335121.0,3509.0,519.0,2990.0,993.0,1991.0,502.0
3,1424.218826,3.5078305,1,4,1,2,2,2,4,2,55,1.0,0.3169511,1335138.0,1338645.0,1337972.0,1337972.0,0.0,0.0,1335655.0,1337646.0,1335655.0,1338646.0,1337653.0,1338646.0,3507.0,517.0,2991.0,993.0,1991.0,319.0
4,1427.734983,3.5161481,1,5,1,1,1,1,4,1,20,1.0,0.7007895,1338653.0,1342171.0,1341880.0,1341880.0,0.0,0.0,1339179.0,1341172.0,1339180.0,1342173.0,1341179.0,1342176.0,3518.0,527.0,2993.0,997.0,1993.0,701.0
5,1431.276157,3.50781,1,6,1,2,2,2,5,2,50,2.0,0.1004462,1342194.0,1345703.0,1344812.0,0.0,1344812.0,0.0,1342711.0,1344703.0,1342712.0,1345703.0,1344710.0,1345703.0,3509.0,518.0,2991.0,993.0,1992.0,102.0
6,1434.792302,3.5079121,1,7,1,1,1,1,3,1,15,2.0,0.0919392,1345710.0,1349219.0,1348320.0,0.0,1348320.0,0.0,1346228.0,1348220.0,1346228.0,1349219.0,1348226.0,1349219.0,3509.0,518.0,2991.0,993.0,1992.0,94.0
7,1438.3085,3.5077558,1,8,1,2,1,2,3,2,55,2.0,0.741862,1349226.0,1352735.0,1352486.0,0.0,1352486.0,0.0,1349744.0,1351735.0,1349744.0,1352736.0,1351742.0,1352736.0,3509.0,518.0,2992.0,994.0,1991.0,744.0
8,1441.824552,3.5078612,1,9,1,1,1,2,1,1,60,1.0,0.2842947,1352742.0,1356252.0,1355545.0,1355545.0,0.0,0.0,1353260.0,1355251.0,1353260.0,1356252.0,1355258.0,1356252.0,3510.0,518.0,2992.0,994.0,1991.0,287.0
9,1445.340922,3.5076495,1,10,1,1,1,2,5,2,55,1.0,0.2251776,1356258.0,1359767.0,1359002.0,1359002.0,0.0,0.0,1356777.0,1358768.0,1356777.0,1359767.0,1358774.0,1359767.0,3509.0,519.0,2990.0,993.0,1991.0,228.0
