onset	duration	run_number	trial_number	task	ext_mot_pos	ext_mot_ver_dir	staircase_num	fix_off_prct	trial_type	exp_mot_ori	direction_report	response_duration
7784.561704	3.7244559	1	1	2	1	2	2	5	2	46.00961538	n/a	n/a
7788.302909	3.5077382	1	2	2	2	1	2	2	2	46.00961538	n/a	n/a
7791.819152	3.5076919	1	3	2	1	2	1	2	2	46.00961538	n/a	n/a
7795.335132	3.5078382	1	4	2	1	1	2	1	2	46.00961538	n/a	n/a
7798.851306	3.5162415	1	5	2	2	1	2	2	2	46.00961538	n/a	n/a
7802.384249	3.5076618	1	6	2	1	1	1	5	2	46.00961538	n/a	n/a
7805.900374	3.5076923	1	7	2	1	1	1	1	2	46.00961538	n/a	n/a
7809.41656	3.507674	1	8	2	1	1	2	2	2	46.00961538	n/a	n/a
7812.93272	3.5078458	1	9	2	2	1	2	3	1	46.00961538	n/a	n/a
7816.448763	3.7244136	1	10	2	1	1	1	2	1	46.00961538	n/a	n/a
7820.181526	3.5077898	1	11	2	2	2	2	1	1	46.00961538	n/a	n/a
7823.697805	3.6826757	1	12	2	1	2	1	5	2	46.00961538	n/a	n/a
7827.38881	3.5077797	1	13	2	1	2	1	4	2	46.00961538	n/a	n/a
7830.904949	3.5077906	1	14	2	2	2	2	5	1	46.00961538	n/a	n/a
7834.42121	3.5077284	1	15	2	1	2	1	2	2	46.00961538	n/a	n/a
7837.937272	3.5078389	1	16	2	2	1	1	3	1	46.00961538	n/a	n/a
7841.453445	3.6994327	1	17	2	2	1	2	1	1	46.00961538	n/a	n/a
7845.161351	3.5077059	1	18	2	2	1	2	1	2	46.00961538	n/a	n/a
7848.677383	3.5078211	1	19	2	2	2	2	4	1	46.00961538	n/a	n/a
7852.193535	3.7077808	1	20	2	1	1	1	5	2	46.00961538	n/a	n/a
7855.909648	3.507825	1	21	2	1	2	2	1	1	46.00961538	n/a	n/a
7859.425803	3.5078284	1	22	2	2	1	2	5	2	46.00961538	n/a	n/a
7862.941962	3.6911477	1	23	2	1	1	2	2	2	46.00961538	n/a	n/a
7866.641439	3.5078247	1	24	2	2	2	2	4	1	46.00961538	n/a	n/a
7870.157601	3.5078363	1	25	2	2	2	2	5	1	46.00961538	n/a	n/a
7873.673774	3.6827679	1	26	2	1	1	1	5	2	46.00961538	n/a	n/a
7877.364876	3.507979	1	27	2	2	2	1	1	2	46.00961538	n/a	n/a
7880.881035	3.5078098	1	28	2	2	1	2	4	2	46.00961538	n/a	n/a
7884.397179	3.50783	1	29	2	2	2	1	3	1	46.00961538	n/a	n/a
7887.913359	3.507825	1	30	2	1	2	2	5	2	46.00961538	n/a	n/a
7891.42965	3.7492946	1	31	2	2	2	2	3	1	46.00961538	n/a	n/a
7895.187445	3.6577796	1	32	2	2	2	2	5	2	46.00961538	n/a	n/a
7898.853425	3.7163192	1	33	2	2	1	1	5	2	46.00961538	n/a	n/a
7902.577888	3.9244162	1	34	2	1	1	2	1	2	46.00961538	n/a	n/a
7906.510798	3.5076858	1	35	2	2	1	2	4	2	46.00961538	n/a	n/a
7910.026836	3.507817	1	36	2	1	1	2	4	1	46.00961538	n/a	n/a
7913.543075	3.5077366	1	37	2	1	1	2	1	1	46.00961538	n/a	n/a
7917.059146	3.5077961	1	38	2	1	2	2	4	2	46.00961538	n/a	n/a
7920.575475	3.6742889	1	39	2	1	1	2	2	2	46.00961538	n/a	n/a
7924.258083	3.5078076	1	40	2	1	2	2	4	2	46.00961538	n/a	n/a
7927.774428	3.6909537	1	41	2	2	1	1	2	1	46.00961538	n/a	n/a
7931.473712	3.6911503	1	42	2	2	1	1	5	2	46.00961538	n/a	n/a
7935.173282	3.5077527	1	43	2	1	2	1	2	1	46.00961538	n/a	n/a
7938.689342	3.5078405	1	44	2	1	2	2	4	2	46.00961538	n/a	n/a
7942.205512	3.6829168	1	45	2	1	1	1	5	1	46.00961538	n/a	n/a
7945.896649	3.5412845	1	46	2	1	1	1	3	1	46.00961538	n/a	n/a
7949.446362	3.507602455	1	47	2	2	2	2	1	2	46.00961538	n/a	n/a
7952.962287	3.507944	1	48	2	2	2	1	4	1	46.00961538	n/a	n/a
7956.478625	3.6827216	1	49	2	1	2	2	4	1	46.00961538	n/a	n/a
7960.16959	3.5078867	1	50	2	1	2	1	3	1	46.00961538	n/a	n/a
7963.685754	3.5078154	1	51	2	1	2	2	5	2	46.00961538	n/a	n/a
7967.201902	3.5994909	1	52	2	1	2	2	3	1	46.00961538	n/a	n/a
7970.809726	3.5078228	1	53	2	1	1	1	5	2	46.00961538	n/a	n/a
7974.32588	3.5078303	1	54	2	2	1	2	1	2	46.00961538	n/a	n/a
7977.842044	3.5077971	1	55	2	2	1	1	2	1	46.00961538	n/a	n/a
7981.358344	3.5076726	1	56	2	2	2	2	3	1	46.00961538	n/a	n/a
7984.874338	3.507851	1	57	2	2	2	1	4	1	46.00961538	n/a	n/a
7988.39051	3.5078161	1	58	2	1	1	1	3	1	46.00961538	n/a	n/a
7991.906794	3.5577135	1	59	2	2	2	1	3	1	46.00961538	n/a	n/a
7995.472837	3.5078142	1	60	2	2	1	2	4	2	46.00961538	n/a	n/a
7998.988998	3.5078417	1	61	2	2	1	1	2	1	46.00961538	n/a	n/a
8002.50516	3.5078263	1	62	2	2	2	2	4	1	46.00961538	n/a	n/a
8006.021325	3.5078259	1	63	2	2	1	2	1	2	46.00961538	n/a	n/a
8009.537573	3.5077532	1	64	2	1	2	2	3	1	46.00961538	n/a	n/a
8013.053656	3.5077789	1	65	2	2	1	2	3	2	46.00961538	n/a	n/a
8016.569932	3.507697	1	66	2	2	1	2	2	1	46.00961538	n/a	n/a
8020.085952	3.5078395	1	67	2	2	2	2	4	1	46.00961538	n/a	n/a
8023.602255	3.6826368	1	68	2	1	2	2	4	2	46.00961538	n/a	n/a
8027.293268	3.5077696	1	69	2	2	1	1	1	2	46.00961538	n/a	n/a
8030.809369	3.5079868	1	70	2	1	2	1	2	2	46.00961538	n/a	n/a
8034.325655	3.5077082	1	71	2	1	2	1	2	2	46.00961538	n/a	n/a
8037.841836	3.5077236	1	72	2	1	2	2	1	1	46.00961538	n/a	n/a
8041.35789	3.5078766	1	73	2	1	2	1	4	2	46.00961538	n/a	n/a
8044.87409	3.5079675	1	74	2	2	1	1	1	1	46.00961538	n/a	n/a
8048.390237	3.5078201	1	75	2	2	1	1	5	1	46.00961538	n/a	n/a
8051.906587	3.5076312	1	76	2	1	2	1	1	1	46.00961538	n/a	n/a
8055.42255	3.507831	1	77	2	2	2	2	1	2	46.00961538	n/a	n/a
8058.938799	3.5077421	1	78	2	2	2	2	4	2	46.00961538	n/a	n/a
8062.454875	3.7744611	1	79	2	1	2	2	5	1	46.00961538	n/a	n/a
8066.237672	3.5078365	1	80	2	2	1	1	2	2	46.00961538	n/a	n/a
8094.908549	3.7494287	1	81	2	2	1	2	5	2	46.00961538	n/a	n/a
8098.666312	3.507816	1	82	2	1	2	1	5	1	46.00961538	n/a	n/a
8102.182468	3.5078207	1	83	2	2	1	2	5	2	46.00961538	n/a	n/a
8105.698634	3.5078339	1	84	2	1	2	2	1	1	46.00961538	n/a	n/a
8109.2148	3.5078258	1	85	2	1	1	1	5	2	46.00961538	n/a	n/a
8112.731009	3.5078108	1	86	2	1	2	1	4	1	46.00961538	n/a	n/a
8116.247159	3.507807	1	87	2	1	2	1	1	2	46.00961538	n/a	n/a
8119.763303	3.5078184	1	88	2	1	1	2	2	1	46.00961538	n/a	n/a
8123.279603	3.5077201	1	89	2	1	1	1	5	2	46.00961538	n/a	n/a
8126.795655	3.4995217	1	90	2	1	2	1	5	2	46.00961538	n/a	n/a
8130.303575	3.5077126	1	91	2	1	2	2	4	1	46.00961538	n/a	n/a
8133.819618	3.6661428	1	92	2	2	1	2	4	1	46.00961538	n/a	n/a
8137.494212	3.682878	1	93	2	2	2	2	5	1	46.00961538	n/a	n/a
8141.185241	3.9994005	1	94	2	2	1	1	5	2	46.00961538	n/a	n/a
8145.193002	3.50782	1	95	2	2	1	2	4	2	46.00961538	n/a	n/a
8148.709264	3.624610001	1	96	2	1	2	1	2	2	46.00961538	n/a	n/a
8152.342116	3.5078136	1	97	2	1	2	1	4	1	46.00961538	n/a	n/a
8155.858138	3.7411162	1	98	2	2	2	1	2	2	46.00961538	n/a	n/a
8159.60761	3.5078103	1	99	2	1	2	1	5	2	46.00961538	n/a	n/a
8163.123885	3.5493592	1	100	2	2	1	2	5	1	46.00961538	n/a	n/a
