onset	duration	run_number	trial_number	task	ext_mot_pos	ext_mot_ver_dir	fix_off_prct	exp_mot_ori	direction_report	response_duration
4593.660657	3.5245012	2	1	2	1	2	1	41.63461538	n/a	n/a
4597.193478	3.50783	2	2	2	2	2	5	41.63461538	n/a	n/a
4600.709628	3.5078629	2	3	2	2	2	4	41.63461538	n/a	n/a
4604.22586	3.507799	2	4	2	2	2	4	41.63461538	n/a	n/a
4607.741968	3.516185	2	5	2	1	1	5	41.63461538	n/a	n/a
4611.266476	3.5078088	2	6	2	2	2	1	41.63461538	n/a	n/a
4614.782861	3.507612	2	7	2	2	2	3	41.63461538	n/a	n/a
4618.29891	3.5077414	2	8	2	1	1	2	41.63461538	n/a	n/a
4621.814969	3.5078834	2	9	2	1	1	1	41.63461538	n/a	n/a
4625.331249	3.5077451	2	10	2	1	1	5	41.63461538	n/a	n/a
4628.847309	3.5078183	2	11	2	2	2	5	41.63461538	n/a	n/a
4632.363596	3.5076958	2	12	2	1	2	5	41.63461538	n/a	n/a
4635.879626	3.6828021	2	13	2	1	1	2	41.63461538	n/a	n/a
4639.570762	3.5078298	2	14	2	2	2	2	41.63461538	n/a	n/a
4643.087018	3.5077363	2	15	2	1	1	5	41.63461538	n/a	n/a
4646.603088	3.5078398	2	16	2	1	1	2	41.63461538	n/a	n/a
4650.11925	3.5078446	2	17	2	2	1	3	41.63461538	n/a	n/a
4653.635416	3.507834	2	18	2	1	1	4	41.63461538	n/a	n/a
4657.151576	3.5078474	2	19	2	2	2	2	41.63461538	n/a	n/a
4660.667754	3.5078179	2	20	2	1	2	1	41.63461538	n/a	n/a
4664.184015	3.5077069	2	21	2	2	1	5	41.63461538	n/a	n/a
4667.700055	3.5078471	2	22	2	2	1	5	41.63461538	n/a	n/a
4671.216232	3.624493	2	23	2	2	2	3	41.63461538	n/a	n/a
4674.84903	3.508075869	2	24	2	1	2	3	41.63461538	n/a	n/a
4678.365351	3.5243533	2	25	2	1	1	3	41.63461538	n/a	n/a
4681.898151	3.5077167	2	26	2	1	1	4	41.63461538	n/a	n/a
4685.414196	3.5078552	2	27	2	1	1	3	41.63461538	n/a	n/a
4688.93054	3.5076456	2	28	2	2	2	1	41.63461538	n/a	n/a
4692.446524	3.5078313	2	29	2	1	1	1	41.63461538	n/a	n/a
