onset	duration	run_number	trial_number	task	ext_mot_pos	ext_mot_ver_dir	staircase_num	exp_mot_ori	direction_report	response_duration
5002.810564	3.7993442	1	1	1	1	1	2	65	1	0.3670901
5006.61823	3.507842	1	2	1	2	1	1	15	2	0.450409
5010.1344	3.5079726	1	3	1	2	2	1	20	2	0.4919414
5013.658961	3.5077436	1	4	1	2	1	2	60	1	0.4342847
5017.183528	3.5161734	1	5	1	1	2	2	55	1	0.4176127
5020.716228	3.5078302	1	6	1	1	1	2	50	1	0.3336029
5024.232393	3.5078525	1	7	1	2	2	1	25	2	0.3837489
5027.748696	3.5076888	1	8	1	1	2	2	45	1	0.2926343
5031.264721	3.5078274	1	9	1	2	1	2	40	2	0.3420018
5034.781013	3.5077165	1	10	1	2	2	2	45	2	0.3425411
5038.297058	3.4994853	1	11	1	1	2	2	50	1	0.1755675
5041.804882	3.5078313	1	12	1	1	1	2	45	1	0.4584794
5045.321059	3.5078136	1	13	1	1	1	2	40	1	0.3501243
5048.837173	3.5078477	1	14	1	1	1	2	35	2	0.3583472
5052.353353	3.5078387	1	15	1	2	2	2	40	2	0.3505942
5055.869521	3.507833	1	16	1	1	1	2	45	1	0.316878
5059.385697	3.5078439	1	17	1	2	1	2	40	2	0.3834458
5062.902002	3.5076613	1	18	1	1	2	2	45	1	0.4250933
5066.418164	3.5077092	1	19	1	1	2	1	30	2	0.3751249
5069.934203	3.5078344	1	20	1	2	1	1	35	2	0.3917698
5073.45034	3.507848	1	21	1	1	2	1	40	2	0.3667537
5076.96652	3.5078149	1	22	1	2	1	1	45	2	0.3750809
5080.482721	3.5077336	1	23	1	2	1	2	40	1	0.4167609
5083.998832	3.5077946	1	24	1	1	1	1	50	1	0.2751686
5087.51496	3.5078294	1	25	1	2	2	1	45	2	0.1584374
5091.031152	3.5078235	1	26	1	2	1	1	50	1	0.1668202
5094.547346	3.5078118	1	27	1	1	1	2	35	1	0.3751004
5098.063487	3.8327899	1	28	1	2	1	2	30	2	0.4250951
5101.904607	3.5078534	1	29	1	1	2	2	35	2	0.3917549
5105.420787	3.5078335	1	30	1	2	1	2	40	1	0.3588066
5108.936966	3.507834	1	31	1	2	1	2	35	1	0.4834347
5112.45313	3.5078261	1	32	1	2	2	1	45	2	0.4666776
5115.969286	3.5078359	1	33	1	1	1	1	50	1	0.3084982
5119.48545	3.5078498	1	34	1	2	2	1	45	2	0.2084628
5123.001623	3.4994943	1	35	1	1	1	2	30	n/a	n/a
5129.575676	3.5078319	1	36	1	2	1	1	50	1	0.3167881
5133.091881	3.5077499	1	37	1	1	2	2	30	2	0.1086276
5136.607979	3.5078452	1	38	1	2	2	1	45	2	0.2085155
5140.124209	3.5078187	1	39	1	2	1	1	50	1	0.150174
5143.640365	3.5077942	1	40	1	2	1	1	45	1	0.2917932
5147.164806	3.5078224	1	41	1	1	2	2	35	2	0.3251118
5150.68109	3.5077242	1	42	1	2	1	2	40	2	0.3751123
5154.197155	3.5078508	1	43	1	1	1	2	45	1	0.2001579
5157.713336	3.5078708	1	44	1	2	2	2	40	2	0.1834807
5161.229461	3.9994743	1	45	1	2	2	2	45	2	0.3000162
5165.237265	3.5078473	1	46	1	1	2	2	50	2	0.4417716
5168.753429	3.5078347	1	47	1	1	2	2	55	1	0.01664895351
5172.269594	3.5078268	1	48	1	1	2	2	50	2	-0.099518
5175.785753	3.5078549	1	49	1	1	2	2	55	1	0.3334153
5179.30194	3.507822	1	50	1	1	1	1	40	1	0.3334572
5182.81809	3.5078321	1	51	1	1	1	2	50	1	0.2751708
5186.334255	3.5078006	1	52	1	1	1	1	35	1	0.1168568
5189.850426	3.5078126	1	53	1	2	1	1	30	2	0.4582876
5193.366589	3.5078173	1	54	1	2	2	2	45	2	0.325105
5196.882733	3.5078385	1	55	1	1	1	2	50	1	0.3252073
5200.399039	3.5076954	1	56	1	1	1	1	35	1	0.2918277
5203.923399	3.5078469	1	57	1	2	1	1	30	2	0.2002029
5207.439581	3.5078593	1	58	1	2	1	2	45	1	0.3166301
5210.95577	3.5078228	1	59	1	1	2	2	40	1	0.3416751
5214.471923	3.5078217	1	60	1	1	2	2	35	2	0.3083674
5217.988163	3.5077623	1	61	1	1	2	1	35	2	0.066877
5221.504237	3.5078531	1	62	1	2	2	2	40	2	0.3917733
5225.020423	3.5078004	1	63	1	1	1	2	45	1	0.3501074
5228.536572	3.5078345	1	64	1	1	1	1	40	2	0.1001601
5232.052736	3.507836	1	65	1	1	2	1	45	2	0.4750468
5235.568906	3.5080126	1	66	1	2	2	1	50	1	0.4083465
5239.101905	3.9243445	1	67	1	2	2	1	45	1	0.3499523
5243.034565	3.532729	1	68	1	2	1	2	40	1	0.3501047
5246.575655	3.5246312	1	69	1	1	2	2	35	2	0.3920642
5250.10862	3.5077295	1	70	1	2	1	1	40	2	0.5334375
5253.624665	3.5077843	1	71	1	1	2	1	45	1	0.3834494
5257.140952	3.5077256	1	72	1	1	2	1	40	1	0.300131
5260.657005	3.507835	1	73	1	1	2	2	40	1	0.3004097
5264.173161	3.7744758	1	74	1	1	2	1	35	2	0.4002242
5267.956098	3.5076896	1	75	1	2	1	1	40	1	0.400176
5271.472117	3.5078369	1	76	1	1	1	1	35	2	0.2916639
5274.988285	3.5080011	1	77	1	2	2	2	35	2	0.0918214
5278.504464	3.5078217	1	78	1	2	2	1	40	2	0.2167946
5282.020616	3.5994517	1	79	1	2	2	1	45	1	-0.1162843
5285.628434	3.5078451	1	80	1	1	1	2	40	1	0.3167893
5289.144589	3.507843	1	81	1	1	1	2	35	1	0.2839169
5292.660764	3.5078191	1	82	1	1	1	2	30	2	0.1334864
5296.176911	3.5078376	1	83	1	1	2	2	35	2	0.3834348
5299.693039	3.5078563	1	84	1	1	2	1	40	2	0.3584711
