onset	duration	run_number	trial_number	task	ext_mot_pos	ext_mot_ver_dir	staircase_num	fix_off_prct	trial_type	ext_mot_ori	direction_report	response_duration
21677.03106	3.7246368	1	1	2	1	1	1	5	2	42.5	n/a	n/a
21680.76386	3.507858	1	2	2	2	1	2	4	2	42.5	n/a	n/a
21684.28004	3.5078285	1	3	2	1	2	2	3	1	42.5	n/a	n/a
21687.7962	3.5078609	1	4	2	1	2	1	4	1	42.5	n/a	n/a
21691.31238	3.5161614	1	5	2	2	1	2	1	1	42.5	n/a	n/a
21694.84521	3.5078355	1	6	2	2	2	1	5	2	42.5	n/a	n/a
21698.36151	3.5994591	1	7	2	2	2	2	4	1	42.5	n/a	n/a
21701.9692	3.5078251	1	8	2	2	1	2	2	1	42.5	n/a	n/a
21705.4855	3.5077184	1	9	2	2	2	2	5	1	42.5	n/a	n/a
21709.00153	3.5078264	1	10	2	1	1	1	3	1	42.5	n/a	n/a
21712.51769	3.5078351	1	11	2	2	2	1	2	1	42.5	n/a	n/a
21716.03387	3.5077988	1	12	2	2	2	2	3	2	42.5	n/a	n/a
21719.55	3.5078352	1	13	2	2	1	2	3	1	42.5	n/a	n/a
21723.06616	3.5078734	1	14	2	2	1	1	3	2	42.5	n/a	n/a
21726.58236	3.5078396	1	15	2	1	2	1	2	2	42.5	n/a	n/a
21730.09851	3.507829	1	16	2	1	2	2	4	1	42.5	n/a	n/a
21733.61478	3.5077273	1	17	2	2	2	2	4	1	42.5	n/a	n/a
21737.13085	3.5078459	1	18	2	1	2	2	4	1	42.5	n/a	n/a
21740.64702	3.5078282	1	19	2	2	2	2	1	2	42.5	n/a	n/a
21744.16318	3.5078442	1	20	2	2	2	1	4	2	42.5	n/a	n/a
21747.67947	3.5077725	1	21	2	2	2	2	3	2	42.5	n/a	n/a
21751.19554	3.5077857	1	22	2	1	1	2	2	2	42.5	n/a	n/a
21754.71169	3.5078578	1	23	2	1	2	1	2	1	42.5	n/a	n/a
21758.22786	3.5078389	1	24	2	2	2	2	4	1	42.5	n/a	n/a
21761.74404	3.5078196	1	25	2	2	1	2	5	1	42.5	n/a	n/a
21765.26018	3.5078395	1	26	2	2	1	1	4	1	42.5	n/a	n/a
21768.77636	3.5079321	1	27	2	1	2	2	3	1	42.5	n/a	n/a
21772.29251	3.5078649	1	28	2	2	2	1	2	2	42.5	n/a	n/a
21775.8087	3.5078002	1	29	2	1	2	2	2	1	42.5	n/a	n/a
21779.32484	3.5078258	1	30	2	2	1	2	4	1	42.5	n/a	n/a
21782.841	3.5078599	1	31	2	2	1	2	3	2	42.5	n/a	n/a
21786.35718	3.5078712	1	32	2	2	2	1	2	2	42.5	n/a	n/a
21789.87334	3.5078352	1	33	2	1	1	1	1	2	42.5	n/a	n/a
21793.3895	3.5078721	1	34	2	1	2	1	1	1	42.5	n/a	n/a
21796.90571	3.5078003	1	35	2	2	1	1	1	1	42.5	n/a	n/a
21800.42183	3.5078521	1	36	2	1	2	2	4	2	42.5	n/a	n/a
21803.93806	3.5078108	1	37	2	1	2	1	1	2	42.5	n/a	n/a
21807.4542	3.5078242	1	38	2	2	1	2	1	1	42.5	n/a	n/a
21810.97035	3.5078396	1	39	2	1	2	1	1	1	42.5	n/a	n/a
21814.48659	3.5077619	1	40	2	1	2	2	1	2	42.5	n/a	n/a
21818.00268	3.5078479	1	41	2	2	1	1	1	1	42.5	n/a	n/a
21821.51886	3.5078137	1	42	2	2	1	2	3	1	42.5	n/a	n/a
21825.03503	3.6661423	1	43	2	1	2	2	4	1	42.5	n/a	n/a
21828.70951	3.5079714	1	44	2	1	1	1	3	1	42.5	n/a	n/a
21832.22592	3.5076123	1	45	2	2	1	2	3	1	42.5	n/a	n/a
21835.74186	3.5078476	1	46	2	2	2	1	2	1	42.5	n/a	n/a
21839.25803	3.5078167	1	47	2	2	2	2	3	1	42.5	n/a	n/a
21842.77434	3.5077	1	48	2	2	1	2	5	1	42.5	n/a	n/a
21846.29036	3.5078602	1	49	2	1	1	2	2	1	42.5	n/a	n/a
21849.80668	3.5076704	1	50	2	1	1	2	4	2	42.5	n/a	n/a
21853.32287	3.5076225	1	51	2	1	1	1	4	1	42.5	n/a	n/a
21856.83883	3.7244891	1	52	2	2	1	2	3	1	42.5	n/a	n/a
21860.57165	3.5078775	1	53	2	1	2	1	2	2	42.5	n/a	n/a
21864.08784	3.5078512	1	54	2	2	1	2	2	2	42.5	n/a	n/a
21867.60415	3.507711	1	55	2	2	2	1	4	2	42.5	n/a	n/a
21871.12021	3.5077921	1	56	2	1	1	2	2	2	42.5	n/a	n/a
21874.63636	3.5078115	1	57	2	1	2	2	4	2	42.5	n/a	n/a
21878.15271	3.5076458	1	58	2	2	2	1	5	1	42.5	n/a	n/a
21881.66884	3.5076821	1	59	2	1	1	2	3	1	42.5	n/a	n/a
21885.18498	3.5078519	1	60	2	2	1	2	2	2	42.5	n/a	n/a
21888.70103	3.4995292	1	61	2	2	1	1	5	1	42.5	n/a	n/a
21892.20888	3.5078194	1	62	2	1	2	2	3	2	42.5	n/a	n/a
21895.72514	3.5077428	1	63	2	2	1	1	2	2	42.5	n/a	n/a
21899.2412	3.5078502	1	64	2	2	1	2	1	2	42.5	n/a	n/a
21902.75737	3.5078721	1	65	2	1	1	2	5	1	42.5	n/a	n/a
21906.2737	3.6243477	1	66	2	1	1	2	2	2	42.5	n/a	n/a
21909.90652	3.5076983	1	67	2	1	2	1	4	1	42.5	n/a	n/a
21913.42255	3.5078327	1	68	2	1	1	1	2	1	42.5	n/a	n/a
21916.93884	3.5077462	1	69	2	2	2	2	3	1	42.5	n/a	n/a
21920.45492	3.6494202	1	70	2	2	2	2	2	2	42.5	n/a	n/a
21924.11266	3.5078332	1	71	2	1	2	2	3	1	42.5	n/a	n/a
21927.62886	3.5078027	1	72	2	2	1	2	4	1	42.5	n/a	n/a
21931.145	3.5078845	1	73	2	1	2	1	5	2	42.5	n/a	n/a
21934.66117	3.5078289	1	74	2	2	1	2	4	1	42.5	n/a	n/a
21938.17734	3.5078839	1	75	2	1	2	2	1	2	42.5	n/a	n/a
21941.69354	3.5078149	1	76	2	2	1	1	3	2	42.5	n/a	n/a
21945.20968	3.5078426	1	77	2	2	1	2	5	2	42.5	n/a	n/a
21948.72587	3.507839	1	78	2	2	2	1	5	1	42.5	n/a	n/a
21952.24204	3.5078383	1	79	2	1	1	2	4	1	42.5	n/a	n/a
21955.7582	3.5078393	1	80	2	1	1	1	2	1	42.5	n/a	n/a
21959.27438	3.5078839	1	81	2	1	1	2	3	1	42.5	n/a	n/a
21962.79057	3.5078231	1	82	2	2	2	1	4	2	42.5	n/a	n/a
21966.30671	3.5078817	1	83	2	1	2	1	1	1	42.5	n/a	n/a
21969.83961	3.5077727	1	84	2	1	1	1	5	2	42.5	n/a	n/a
21973.35573	3.5078722	1	85	2	2	1	2	3	1	42.5	n/a	n/a
21976.87193	3.5078119	1	86	2	2	2	1	5	2	42.5	n/a	n/a
21980.3881	3.5078217	1	87	2	2	1	1	4	2	42.5	n/a	n/a
21983.90425	3.5078626	1	88	2	2	2	2	3	2	42.5	n/a	n/a
21987.42044	3.5078641	1	89	2	2	1	2	3	1	42.5	n/a	n/a
21990.93662	3.4995078	1	90	2	1	2	2	2	2	42.5	n/a	n/a
21994.44461	3.5076486	1	91	2	1	1	2	2	2	42.5	n/a	n/a
21997.96059	3.5078572	1	92	2	1	2	1	5	2	42.5	n/a	n/a
22001.47676	3.6994927	1	93	2	2	2	1	2	2	42.5	n/a	n/a
22005.18458	3.5078535	1	94	2	1	1	1	3	2	42.5	n/a	n/a
22008.70087	3.5077455	1	95	2	1	1	1	3	1	42.5	n/a	n/a
22012.21703	3.5077926	1	96	2	2	2	2	4	2	42.5	n/a	n/a
22015.73315	3.5078271	1	97	2	2	1	2	4	1	42.5	n/a	n/a
22019.24931	3.50798	1	98	2	2	2	1	5	1	42.5	n/a	n/a
22022.7656	3.6493786	1	99	2	1	1	1	5	1	42.5	n/a	n/a
22026.42329	3.50782	1	100	2	2	2	1	5	2	42.5	n/a	n/a
