onset	duration	run_number	trial_number	task	ext_mot_pos	ext_mot_ver_dir	staircase_num	fix_off_prct	trial_type	ext_mot_ori	direction_report	response_duration
6112.053608	3.7826864	2	1	1	1	1	2	3	2	-65	1	-0.4411371
6115.844643	3.5078327	2	2	1	1	1	1	4	2	-15	2	-1.0411037
6119.360809	3.5078459	2	3	1	2	1	1	1	2	-20	2	-0.9994398
6122.87698	3.5078315	2	4	1	1	2	2	2	2	-60	1	-1.0821938
6126.393144	3.5161732	2	5	1	2	2	2	4	2	-55	1	-0.9572391
6129.925967	3.5078494	2	6	1	1	1	1	2	2	-25	2	-0.9159625
6133.442148	3.507823	2	7	1	1	1	2	1	1	-50	1	-1.1995693
6136.958437	3.5077128	2	8	1	1	2	1	3	1	-30	2	-0.8164166
6140.474462	3.5078478	2	9	1	2	2	1	4	2	-35	2	-0.5322509
6143.990639	3.5080078	2	10	1	1	2	1	4	2	-40	1	-0.4322848
6147.506935	3.6660369	2	11	1	2	1	2	1	1	-45	1	-0.6663154
6151.181307	3.507868	2	12	1	2	1	1	4	1	-35	1	-0.6663592
6154.697503	3.5078093	2	13	1	2	2	1	5	1	-30	2	-0.6661381
6158.213784	3.5076972	2	14	1	1	1	1	4	2	-35	2	-0.7495961
6161.729794	3.5080574	2	15	1	2	2	1	1	1	-40	1	-0.6662893
6165.246126	3.5076954	2	16	1	2	2	2	1	1	-40	1	-0.7746548
6168.762285	3.9992997	2	17	1	2	2	1	1	2	-35	2	-0.8580324
6172.769922	3.5078299	2	18	1	2	2	1	3	2	-40	1	-0.9663166
6176.286087	3.8244582	2	19	1	2	1	2	1	2	-35	2	-0.5079437
6180.118971	3.5077604	2	20	1	1	1	1	1	1	-35	2	-0.2830989
6183.635173	3.9993097	2	21	1	2	1	1	2	1	-40	2	-0.5747581
6187.642819	3.5078209	2	22	1	1	2	2	2	2	-40	1	-0.6163533
6191.158974	3.5411773	2	23	1	2	2	2	5	2	-35	2	-0.5496273
6194.708473	3.507859	2	24	1	1	2	1	5	1	-45	1	-0.6665605165
6198.224784	3.5077065	2	25	1	1	1	1	5	2	-40	2	-0.9996386
6201.740946	3.5077122	2	26	1	2	1	1	2	2	-45	n/a	n/a
6205.256997	3.507836	2	27	1	1	1	1	4	1	-45	2	-0.78314
6208.773162	3.5079216	2	28	1	1	2	2	3	1	-40	1	-0.7080584
6212.289331	3.5078368	2	29	1	1	2	2	1	1	-35	1	-0.8746674
6215.8055	3.5078575	2	30	1	2	1	1	3	1	-50	1	-0.7913336
6219.321677	3.882795	2	31	1	1	1	1	5	2	-45	1	-1.0329567
6308.492435	3.674432	2	32	1	2	2	1	5	2	-40	1	-0.4663867
6312.175185	3.5078541	2	33	1	1	2	1	5	1	-35	1	-0.4830315
6315.691401	3.5077989	2	34	1	1	2	1	3	2	-30	2	-0.8247697
6319.207525	3.5078512	2	35	1	1	1	2	1	1	-30	2	-0.9162911
6322.723726	3.5078208	2	36	1	1	1	1	2	1	-35	2	-0.8996244
6326.239859	3.5078553	2	37	1	1	2	1	3	1	-40	1	-0.6246448
6329.75605	3.5078368	2	38	1	1	1	1	5	2	-35	2	-0.9829801
6333.272361	3.507925079	2	39	1	1	2	1	5	2	-40	2	-0.9080605
6336.7884	3.5078201	2	40	1	1	1	1	3	2	-45	1	-0.7830111
6340.304692	3.5076906	2	41	1	2	2	2	3	1	-35	2	-0.5497124
6343.820712	3.5079636	2	42	1	1	2	1	2	1	-40	1	-0.4246935
6347.337105	3.5076163	2	43	1	1	2	2	4	2	-40	1	-0.9078034
6350.853037	3.5078415	2	44	1	2	1	2	5	1	-35	1	-0.5497973
6354.369225	3.5078442	2	45	1	2	2	1	3	2	-35	2	-0.6413625
6357.885412	3.5078363	2	46	1	2	2	2	3	2	-30	2	-0.8497173
6361.401583	3.5078321	2	47	1	1	2	2	3	2	-35	1	-1.1162506
6364.917883	3.5077076	2	48	1	2	2	1	1	2	-40	1	-1.0995859
6368.434058	3.50772	2	49	1	1	1	1	2	1	-35	1	-0.0413153
6371.950115	3.5078209	2	50	1	1	2	2	1	2	-30	1	-0.9913056
6375.466405	3.5077178	2	51	1	2	2	1	2	2	-30	2	-0.9748272
6378.982456	3.5078206	2	52	1	2	2	1	1	2	-35	2	-0.6330131
6382.49861	3.5078539	2	53	1	2	1	1	5	2	-40	2	-0.4415194
6386.014794	3.5078279	2	54	1	1	1	1	5	1	-45	1	-1.0914282
6389.53095	3.5078457	2	55	1	2	1	1	1	1	-40	2	-0.7163488
6393.047184	3.5077834	2	56	1	2	1	2	1	2	-25	2	-0.9490412
6396.563285	3.5078462	2	57	1	2	2	1	3	2	-45	2	-0.6413227
6400.079453	3.5078212	2	58	1	1	1	1	5	2	-50	1	-0.9496469
6403.595622	3.6495149	2	59	1	2	2	2	5	2	-30	2	-0.774715
6407.253468	3.5078433	2	60	1	1	1	2	4	2	-35	2	-0.7329901
6410.769626	3.9327711	2	61	1	1	1	1	3	1	-45	n/a	n/a
6414.710736	3.5078418	2	62	1	2	2	1	4	1	-45	2	-0.6080739
6418.226897	3.5078542	2	63	1	1	1	2	5	1	-40	1	-1.182365
6421.743233	3.5076883	2	64	1	1	1	1	4	1	-50	1	-1.0073946
6425.259258	3.5078369	2	65	1	1	2	1	1	1	-45	n/a	n/a
6428.77543	3.507838	2	66	1	1	1	2	1	1	-35	2	-0.7663458
6432.291575	3.9994599	2	67	1	2	1	1	2	2	-45	2	-1.0247834
6436.299369	3.507851	2	68	1	2	2	2	3	2	-40	n/a	n/a
6439.815532	3.5079445	2	69	1	1	1	1	1	1	-50	1	0.1418299
6443.331791	3.5078049	2	70	1	2	2	2	1	2	-40	2	-0.8829243
6446.847872	3.5078472	2	71	1	1	1	1	2	1	-45	2	-0.666162
6450.364054	3.5080382	2	72	1	2	2	2	5	1	-45	2	-0.2497182
6453.880213	3.507851	2	73	1	2	1	2	3	2	-50	2	-0.8164752
6457.396395	3.5078568	2	74	1	2	1	1	5	2	-50	2	-0.9912871
6460.912575	3.5078504	2	75	1	2	2	2	3	2	-55	1	-0.7496664
6464.428746	3.5078324	2	76	1	2	2	2	1	1	-50	1	-0.8163166
6467.944913	3.5078427	2	77	1	1	2	1	2	2	-55	1	-0.6830882
6471.461083	3.5078557	2	78	1	1	1	1	4	1	-50	1	-0.8991471
6474.977428	3.5076564	2	79	1	1	2	1	3	1	-45	1	-0.5580362
6544.817399	3.5078305	2	80	1	2	1	2	2	1	-45	1	-0.8830234
6548.33356	3.5078096	2	81	1	2	1	1	4	1	-40	1	-1.0663256
6551.849693	3.5078784	2	82	1	2	2	1	4	2	-35	1	-0.6830156
6555.365898	3.5078529	2	83	1	2	1	1	2	2	-30	1	-0.9745749
6558.882084	3.5078266	2	84	1	2	2	1	3	1	-25	2	-0.6580298
6562.398408	3.5077081	2	85	1	2	1	2	1	1	-40	1	-1.0994513
6565.914427	3.5078602	2	86	1	2	1	2	2	2	-35	2	-0.6913444
6569.430609	3.5078216	2	87	1	2	1	2	2	2	-40	2	-0.9413234
6572.946956	3.507669	2	88	1	2	1	2	3	1	-45	1	-1.2079293
6576.462962	3.5078216	2	89	1	1	1	1	1	1	-30	2	-1.1745792
6579.979116	3.5078416	2	90	1	2	2	2	2	2	-40	1	-1.0579805
6583.495291	3.5078219	2	91	1	1	1	2	3	2	-35	2	-1.1496076
6587.011465	3.5078319	2	92	1	2	1	1	5	2	-35	1	-0.9579005
6590.52763	3.5078317	2	93	1	1	1	1	1	1	-30	2	-1.2578428
6594.043934	3.5076701	2	94	1	1	1	1	1	2	-35	2	-1.1573477
6597.559956	3.5078508	2	95	1	1	1	1	1	2	-40	2	-1.1912578
6601.07614	3.5078272	2	96	1	2	2	1	5	2	-45	2	-0.7745879
6604.592285	3.5078644	2	97	1	2	2	1	4	1	-50	1	-1.1164597
6608.108481	3.5078563	2	98	1	1	2	2	1	2	-40	1	-0.8664479
6611.624661	3.5078486	2	99	1	2	2	2	1	2	-35	2	-0.9746368
6615.140805	3.5078979	2	100	1	1	2	2	5	1	-40	1	-1.032958
