,onset,duration,run_number,trial_number,task,ext_mot_pos,ext_mot_ver_dir,staircase_num,fix_off_prct,trial_type,ext_mot_ori,direction_report,response_duration,trial_onset,trial_offset,button_press_onset,button_left,button_right,fix_break,motion_onset,motion_offset,fixation_onset,fixation_offset,response_onset,response_offset,trial_duration,fix_check_duration,fixation_duration,response_duration,motion_duration,reaction_time
0,5404.696429,3.999191701,1,1,1,2,1,1,5,2,-15,n/a,n/a,2981157.0,2985156.0,0.0,0.0,0.0,0.0,2982165.0,2984156.0,2982165.0,2985156.0,2984163.0,2985157.0,3999.0,1008.0,2991.0,994.0,1991.0,-2984163.0
1,5408.703983,3.5078052,1,2,1,1,1,2,3,1,-65,1.0,-0.4245649,2985163.0,2988672.0,2987256.0,2987256.0,0.0,0.0,2985681.0,2987672.0,2985682.0,2988672.0,2987679.0,2988672.0,3509.0,519.0,2990.0,993.0,1991.0,-423.0
2,5412.220128,3.5078233,1,3,1,1,1,1,1,2,-15,2.0,-0.9986665,2988679.0,2992188.0,2990198.0,0.0,2990198.0,0.0,2989197.0,2991189.0,2989197.0,2992188.0,2991195.0,2992188.0,3509.0,518.0,2991.0,993.0,1992.0,-997.0
3,5415.736285,3.6161231,1,4,1,2,2,2,2,1,-60,1.0,-0.4569491,2992195.0,2995813.0,2994364.0,2994364.0,0.0,0.0,2992821.0,2994813.0,2992821.0,2995813.0,2994820.0,2995813.0,3618.0,626.0,2992.0,993.0,1992.0,-456.0
4,5419.369188,3.5162271,1,5,1,2,2,1,4,1,-20,2.0,-1.0400582,2995831.0,2999347.0,2997314.0,0.0,2997314.0,0.0,2996354.0,2998346.0,2996355.0,2999350.0,2998353.0,2999352.0,3516.0,524.0,2995.0,999.0,1992.0,-1039.0
5,5422.910274,3.9911557,1,6,1,1,2,2,2,1,-55,1.0,-1.2155019,2999369.0,3003362.0,3001154.0,3001154.0,0.0,0.0,3000370.0,3002361.0,3000371.0,3003362.0,3002368.0,3003363.0,3993.0,1002.0,2991.0,995.0,1991.0,-1214.0
6,5426.909714,3.5077938,1,7,1,2,2,1,2,1,-25,2.0,-0.5993898,3003368.0,3006877.0,3005287.0,0.0,3005287.0,0.0,3003887.0,3005878.0,3003887.0,3006877.0,3005884.0,3006877.0,3509.0,519.0,2990.0,993.0,1991.0,-597.0
7,5430.425846,3.9994179,1,8,1,2,2,1,2,2,-30,2.0,-0.7495692,3006884.0,3010885.0,3009144.0,0.0,3009144.0,0.0,3007894.0,3009886.0,3007894.0,3010885.0,3009892.0,3010885.0,4001.0,1010.0,2991.0,993.0,1992.0,-748.0
8,5434.433632,3.5077939,1,9,1,2,1,2,5,2,-50,2.0,0.7507229,3010892.0,3014402.0,3014162.0,0.0,3014162.0,0.0,3011410.0,3013402.0,3011410.0,3014402.0,3013409.0,3014402.0,3510.0,518.0,2992.0,993.0,1992.0,753.0
9,5437.949757,3.9994393,1,10,1,1,1,2,2,1,-55,2.0,0.8417758,3014408.0,3018410.0,3018260.0,0.0,3018260.0,0.0,3015418.0,3017409.0,3015418.0,3018410.0,3017416.0,3018410.0,4002.0,1010.0,2992.0,994.0,1991.0,844.0
10,5441.957502,3.4995037,1,11,1,2,2,2,4,1,-60,1.0,-0.8411345,3018416.0,3021917.0,3020085.0,3020085.0,0.0,0.0,3018925.0,3020917.0,3018925.0,3021917.0,3020924.0,3021917.0,3501.0,509.0,2992.0,993.0,1992.0,-839.0
11,5445.465465,3.5077005,1,12,1,1,2,1,2,1,-35,1.0,-0.2490189,3021924.0,3025433.0,3024193.0,3024193.0,0.0,0.0,3022442.0,3024434.0,3022442.0,3025433.0,3024440.0,3025433.0,3509.0,518.0,2991.0,993.0,1992.0,-247.0
12,5448.981501,3.5078051,1,13,1,2,2,1,1,1,-30,2.0,-0.8328461,3025440.0,3028950.0,3027126.0,0.0,3027126.0,0.0,3025958.0,3027949.0,3025958.0,3028950.0,3027956.0,3028950.0,3510.0,518.0,2992.0,994.0,1991.0,-830.0
13,5452.497833,3.540979,1,14,1,1,2,1,3,1,-35,1.0,-0.3412592,3028956.0,3032499.0,3031166.0,3031166.0,0.0,0.0,3029507.0,3031499.0,3029507.0,3032499.0,3031506.0,3032499.0,3543.0,551.0,2992.0,993.0,1992.0,-340.0
14,5456.047135,3.507823,1,15,1,2,1,2,5,1,-55,1.0,-0.2079638,3032505.0,3036015.0,3034816.0,3034816.0,0.0,0.0,3033024.0,3035015.0,3033024.0,3036015.0,3035022.0,3036015.0,3510.0,519.0,2991.0,993.0,1991.0,-206.0
15,5459.563289,3.6577949,1,16,1,1,1,2,1,1,-50,2.0,-0.0913907,3036022.0,3039681.0,3038598.0,0.0,3038598.0,0.0,3036690.0,3038681.0,3036690.0,3039681.0,3038688.0,3039681.0,3659.0,668.0,2991.0,993.0,1991.0,-90.0
16,5598.643305,3.6994148,1,17,1,2,2,2,5,2,-55,1.0,-0.0497982,3175101.0,3178802.0,3177761.0,3177761.0,0.0,0.0,3175811.0,3177801.0,3175811.0,3178802.0,3177809.0,3178802.0,3701.0,710.0,2991.0,993.0,1990.0,-48.0
17,5602.351054,3.5078199,1,18,1,1,2,2,3,2,-50,1.0,-0.9496218,3178809.0,3182318.0,3180376.0,3180376.0,0.0,0.0,3179327.0,3181318.0,3179327.0,3182318.0,3181325.0,3182319.0,3509.0,518.0,2991.0,994.0,1991.0,-949.0
18,5605.867214,3.5078334,1,19,1,1,1,1,1,1,-30,2.0,-0.9163255,3182325.0,3185834.0,3183927.0,0.0,3183927.0,0.0,3182843.0,3184834.0,3182843.0,3185834.0,3184841.0,3185834.0,3509.0,518.0,2991.0,993.0,1991.0,-914.0
19,5609.383511,3.5076964,1,20,1,1,1,1,2,2,-35,2.0,-0.9163186,3185841.0,3189350.0,3187443.0,0.0,3187443.0,0.0,3186359.0,3188350.0,3186360.0,3189350.0,3188357.0,3189350.0,3509.0,519.0,2990.0,993.0,1991.0,-914.0
20,5612.899554,3.6161038,1,21,1,2,1,2,5,2,-45,1.0,-0.8246559,3189357.0,3192974.0,3191158.0,3191158.0,0.0,0.0,3189984.0,3191975.0,3189984.0,3192974.0,3191982.0,3192974.0,3617.0,627.0,2990.0,992.0,1991.0,-824.0
21,5616.524001,3.5078668,1,22,1,1,2,2,5,2,-40,1.0,-0.4997324,3192981.0,3196491.0,3194999.0,3194999.0,0.0,0.0,3193500.0,3195491.0,3193500.0,3196491.0,3195498.0,3196491.0,3510.0,519.0,2991.0,993.0,1991.0,-499.0
22,5620.040201,3.5078347,1,23,1,2,1,2,1,1,-35,2.0,-0.9245796,3196498.0,3200007.0,3198091.0,0.0,3198091.0,0.0,3197016.0,3199007.0,3197016.0,3200007.0,3199014.0,3200007.0,3509.0,518.0,2991.0,993.0,1991.0,-923.0
23,5623.556361,3.5078315,1,24,1,2,1,2,4,2,-40,2.0,-0.5247038,3200014.0,3203523.0,3202007.0,0.0,3202007.0,0.0,3200532.0,3202524.0,3200532.0,3203523.0,3202530.0,3203523.0,3509.0,518.0,2991.0,993.0,1992.0,-523.0
24,5627.072522,3.5079068,1,25,1,1,1,1,1,2,-40,2.0,-0.8239883,3203530.0,3207039.0,3205224.0,0.0,3205224.0,0.0,3204048.0,3206040.0,3204048.0,3207040.0,3206046.0,3207040.0,3509.0,518.0,2992.0,994.0,1992.0,-822.0
25,5630.588687,3.5078168,1,26,1,1,2,2,4,1,-45,1.0,-0.8246779,3207046.0,3210556.0,3208740.0,3208740.0,0.0,0.0,3207564.0,3209556.0,3207564.0,3210556.0,3209562.0,3210556.0,3510.0,518.0,2992.0,994.0,1992.0,-822.0
26,5634.10486,3.5078158,1,27,1,1,2,2,3,1,-40,1.0,-0.2247299,3210562.0,3214072.0,3212856.0,3212856.0,0.0,0.0,3211080.0,3213071.0,3211080.0,3214072.0,3213078.0,3214072.0,3510.0,518.0,2992.0,994.0,1991.0,-222.0
27,5637.621007,3.4995009,1,28,1,2,2,1,4,1,-45,1.0,-0.4997046,3214078.0,3217579.0,3216088.0,3216088.0,0.0,0.0,3214589.0,3216580.0,3214589.0,3217579.0,3216586.0,3217579.0,3501.0,511.0,2990.0,993.0,1991.0,-498.0
28,5641.128839,3.507889,1,29,1,2,1,2,2,2,-35,2.0,-0.5415041,3217586.0,3221096.0,3219562.0,0.0,3219562.0,0.0,3218104.0,3220096.0,3218104.0,3221096.0,3220103.0,3221096.0,3510.0,518.0,2992.0,993.0,1992.0,-541.0
29,5644.645085,3.9995187,1,30,1,2,1,2,2,2,-40,1.0,-0.6746717,3221102.0,3225104.0,3223438.0,3223438.0,0.0,0.0,3222112.0,3224103.0,3222112.0,3225104.0,3224110.0,3225104.0,4002.0,1010.0,2992.0,994.0,1991.0,-672.0
30,5648.65292,3.5076538,1,31,1,1,1,1,5,2,-40,2.0,-0.7657711,3225110.0,3228619.0,3226862.0,0.0,3226862.0,0.0,3225628.0,3227620.0,3225628.0,3228619.0,3227626.0,3228620.0,3509.0,518.0,2991.0,994.0,1992.0,-764.0
31,5652.169031,3.5076905,1,32,1,2,1,1,2,1,-45,1.0,-0.7164671,3228626.0,3232135.0,3230428.0,3230428.0,0.0,0.0,3229145.0,3231136.0,3229145.0,3232135.0,3231143.0,3232136.0,3509.0,519.0,2990.0,993.0,1991.0,-715.0
32,5655.685086,3.5078408,1,33,1,1,1,1,1,2,-40,2.0,-0.8413278,3232142.0,3235652.0,3233819.0,0.0,3233819.0,0.0,3232660.0,3234652.0,3232660.0,3235652.0,3234658.0,3235652.0,3510.0,518.0,2992.0,994.0,1992.0,-839.0
33,5659.201263,3.5078175,1,34,1,2,2,2,3,1,-35,1.0,-0.6081383,3235659.0,3239168.0,3237569.0,3237569.0,0.0,0.0,3236176.0,3238168.0,3236176.0,3239168.0,3238175.0,3239168.0,3509.0,517.0,2992.0,993.0,1992.0,-606.0
34,5662.717409,3.5078309,1,35,1,2,1,1,3,2,-45,1.0,-0.2081144,3239175.0,3242684.0,3241485.0,3241485.0,0.0,0.0,3239693.0,3241684.0,3239693.0,3242684.0,3241691.0,3242684.0,3509.0,518.0,2991.0,993.0,1991.0,-206.0
35,5666.233576,3.5078408,1,36,1,1,2,1,4,1,-40,1.0,-0.6074407,3242691.0,3246200.0,3244601.0,3244601.0,0.0,0.0,3243209.0,3245200.0,3243209.0,3246201.0,3245207.0,3246201.0,3509.0,518.0,2992.0,994.0,1991.0,-606.0
36,5669.749746,3.7744634,1,37,1,1,1,1,1,1,-35,2.0,-1.0245021,3246207.0,3249983.0,3247967.0,0.0,3247967.0,0.0,3246992.0,3248983.0,3246992.0,3249983.0,3248990.0,3249983.0,3776.0,785.0,2991.0,993.0,1991.0,-1023.0
37,5673.532541,3.5078173,1,38,1,2,1,1,2,2,-40,1.0,-0.0580714,3249990.0,3253499.0,3252449.0,3252449.0,0.0,0.0,3250507.0,3252499.0,3250507.0,3253499.0,3252506.0,3253499.0,3509.0,517.0,2992.0,993.0,1992.0,-57.0
38,5677.048673,3.5078338,1,39,1,1,1,2,5,1,-30,2.0,-0.7077956,3253506.0,3257015.0,3255316.0,0.0,3255316.0,0.0,3254024.0,3256016.0,3254024.0,3257015.0,3256022.0,3257015.0,3509.0,518.0,2991.0,993.0,1992.0,-706.0
39,5680.564837,3.5079325,1,40,1,2,1,1,4,2,-35,1.0,-0.0831475,3257022.0,3260532.0,3259457.0,3259457.0,0.0,0.0,3257540.0,3259531.0,3257540.0,3260532.0,3259538.0,3260532.0,3510.0,518.0,2992.0,994.0,1991.0,-81.0
